frequency,time,phase,d
49.996,28.09.2024 00:00:00,278.4,7.0
49.991,28.09.2024 00:00:01,275.2,7.0
49.987,28.09.2024 00:00:02,270.5,7.0
49.982,28.09.2024 00:00:03,263.8,7.0
49.978,28.09.2024 00:00:04,255.8,7.0
49.974,28.09.2024 00:00:05,246.3,7.0
49.969,28.09.2024 00:00:06,235.1,7.0
49.967,28.09.2024 00:00:07,223.2,7.0
49.967,28.09.2024 00:00:08,209.7,7.0
49.965,28.09.2024 00:00:09,195.6,7.0
49.961,28.09.2024 00:00:10,181.3,7.0
49.961,28.09.2024 00:00:11,165.6,7.0
49.961,28.09.2024 00:00:12,153.0,7.0
49.96,28.09.2024 00:00:13,136.9,7.0
49.96,28.09.2024 00:00:14,122.2,7.0
49.961,28.09.2024 00:00:15,110.4,7.0
49.963,28.09.2024 00:00:16,96.8,7.0
49.962,28.09.2024 00:00:17,83.1,7.0
49.96,28.09.2024 00:00:18,68.7,7.0
49.962,28.09.2024 00:00:19,55.2,7.0
49.961,28.09.2024 00:00:20,41.2,7.0
49.96,28.09.2024 00:00:21,26.8,7.0
49.959,28.09.2024 00:00:22,12.0,7.0
49.959,28.09.2024 00:00:23,357.1,7.0
49.963,28.09.2024 00:00:24,344.0,7.0
49.967,28.09.2024 00:00:25,332.3,7.0
49.97,28.09.2024 00:00:26,321.2,7.0
49.97,28.09.2024 00:00:27,310.5,7.0
49.97,28.09.2024 00:00:28,299.8,7.0
49.971,28.09.2024 00:00:29,289.3,7.0
49.969,28.09.2024 00:00:30,278.4,7.0
49.968,28.09.2024 00:00:31,266.9,7.0
49.966,28.09.2024 00:00:32,254.8,7.0
49.967,28.09.2024 00:00:33,242.8,7.0
49.967,28.09.2024 00:00:34,230.9,7.0
49.967,28.09.2024 00:00:35,219.0,7.0
49.967,28.09.2024 00:00:36,207.2,7.0
49.968,28.09.2024 00:00:37,195.7,7.0
49.969,28.09.2024 00:00:38,184.4,7.0
49.97,28.09.2024 00:00:39,173.6,7.0
49.969,28.09.2024 00:00:40,162.6,7.0
49.968,28.09.2024 00:00:41,151.1,7.0
49.968,28.09.2024 00:00:42,139.6,7.0
49.971,28.09.2024 00:00:43,129.1,7.0
49.972,28.09.2024 00:00:44,119.0,7.0
49.97,28.09.2024 00:00:45,108.1,7.0
49.967,28.09.2024 00:00:46,96.5,7.0
49.965,28.09.2024 00:00:47,84.1,7.0
49.965,28.09.2024 00:00:48,71.3,7.0
49.962,28.09.2024 00:00:49,57.9,7.0
49.961,28.09.2024 00:00:50,43.8,7.0
49.96,28.09.2024 00:00:51,29.4,7.0
49.959,28.09.2024 00:00:52,14.8,7.0
49.959,28.09.2024 00:00:53,359.9,7.0
49.959,28.09.2024 00:00:54,345.0,7.0
49.958,28.09.2024 00:00:55,329.9,7.0
49.959,28.09.2024 00:00:56,315.0,7.0
49.959,28.09.2024 00:00:57,300.2,7.0
49.96,28.09.2024 00:00:58,285.6,7.0
49.959,28.09.2024 00:00:59,270.9,7.0
49.959,28.09.2024 00:01:00,256.0,7.0
49.958,28.09.2024 00:01:01,241.1,7.0
49.956,28.09.2024 00:01:02,225.3,7.0
49.955,28.09.2024 00:01:03,209.3,7.0
49.954,28.09.2024 00:01:04,192.8,7.0
49.954,28.09.2024 00:01:05,176.1,7.0
49.954,28.09.2024 00:01:06,159.5,7.0
49.953,28.09.2024 00:01:07,142.5,7.0
49.954,28.09.2024 00:01:08,126.1,7.0
