frequency,time,phase,d
49.997,03.09.2024 00:00:00,155.3,7.0
49.994,03.09.2024 00:00:01,153.2,7.0
49.99,03.09.2024 00:00:02,149.5,7.0
49.985,03.09.2024 00:00:03,144.1,7.0
49.981,03.09.2024 00:00:04,137.3,7.0
49.977,03.09.2024 00:00:05,129.0,7.0
49.972,03.09.2024 00:00:06,119.0,7.0
49.969,03.09.2024 00:00:07,107.9,7.0
49.968,03.09.2024 00:00:08,95.7,7.0
49.968,03.09.2024 00:00:09,83.0,7.0
49.964,03.09.2024 00:00:10,69.8,7.0
49.962,03.09.2024 00:00:11,56.3,7.0
49.961,03.09.2024 00:00:12,42.2,7.0
49.96,03.09.2024 00:00:13,28.0,7.0
49.961,03.09.2024 00:00:14,13.8,7.0
49.961,03.09.2024 00:00:15,359.5,7.0
49.961,03.09.2024 00:00:16,345.6,7.0
49.961,03.09.2024 00:00:17,331.9,7.0
49.964,03.09.2024 00:00:18,318.9,7.0
49.969,03.09.2024 00:00:19,307.7,7.0
49.971,03.09.2024 00:00:20,297.2,7.0
49.973,03.09.2024 00:00:21,287.3,7.0
49.974,03.09.2024 00:00:22,277.8,7.0
49.976,03.09.2024 00:00:23,269.1,7.0
49.976,03.09.2024 00:00:24,260.3,7.0
49.977,03.09.2024 00:00:25,252.2,7.0
49.976,03.09.2024 00:00:26,243.6,7.0
49.975,03.09.2024 00:00:27,234.6,7.0
49.975,03.09.2024 00:00:28,225.6,7.0
49.974,03.09.2024 00:00:29,216.3,7.0
49.973,03.09.2024 00:00:30,206.5,7.0
49.972,03.09.2024 00:00:31,196.5,7.0
49.971,03.09.2024 00:00:32,186.1,7.0
49.972,03.09.2024 00:00:33,175.9,7.0
49.97,03.09.2024 00:00:34,165.2,7.0
49.968,03.09.2024 00:00:35,153.8,7.0
49.968,03.09.2024 00:00:36,142.0,7.0
49.966,03.09.2024 00:00:37,129.5,7.0
49.965,03.09.2024 00:00:38,117.0,7.0
49.963,03.09.2024 00:00:39,103.8,7.0
49.962,03.09.2024 00:00:40,90.2,7.0
49.96,03.09.2024 00:00:41,75.7,7.0
49.96,03.09.2024 00:00:42,61.4,7.0
49.96,03.09.2024 00:00:43,46.7,7.0
49.959,03.09.2024 00:00:44,32.0,7.0
49.959,03.09.2024 00:00:45,17.0,7.0
49.958,03.09.2024 00:00:46,2.1,7.0
49.96,03.09.2024 00:00:47,347.4,7.0
49.959,03.09.2024 00:00:48,332.6,7.0
49.958,03.09.2024 00:00:49,317.1,7.0
49.956,03.09.2024 00:00:50,301.1,7.0
49.956,03.09.2024 00:00:51,285.5,7.0
49.955,03.09.2024 00:00:52,268.8,7.0
49.955,03.09.2024 00:00:53,253.1,7.0
49.955,03.09.2024 00:00:54,237.0,7.0
49.956,03.09.2024 00:00:55,221.0,7.0
49.954,03.09.2024 00:00:56,204.5,7.0
49.956,03.09.2024 00:00:57,188.8,7.0
49.959,03.09.2024 00:00:58,174.1,7.0
49.962,03.09.2024 00:00:59,160.4,7.0
49.964,03.09.2024 00:01:00,147.5,7.0
49.965,03.09.2024 00:01:01,134.8,7.0
49.967,03.09.2024 00:01:02,122.8,7.0
49.967,03.09.2024 00:01:03,110.9,7.0
49.966,03.09.2024 00:01:04,98.5,7.0
49.964,03.09.2024 00:01:05,85.7,7.0
49.964,03.09.2024 00:01:06,72.8,7.0
49.965,03.09.2024 00:01:07,60.8,7.0
49.967,03.09.2024 00:01:08,49.1,7.0
49.967,03.09.2024 00:01:09,37.0,7.0
