frequency,time,phase,d
50.003,14.09.2024 00:00:00,153.5,7.0
49.997,14.09.2024 00:00:01,152.4,7.0
49.991,14.09.2024 00:00:02,149.3,7.0
49.985,14.09.2024 00:00:03,143.7,7.0
49.979,14.09.2024 00:00:04,136.2,7.0
49.975,14.09.2024 00:00:05,127.3,7.0
49.971,14.09.2024 00:00:06,117.1,7.0
49.968,14.09.2024 00:00:07,117.3,7.0
49.967,14.09.2024 00:00:08,92.9,7.0
49.966,14.09.2024 00:00:09,81.8,7.0
49.965,14.09.2024 00:00:10,69.0,7.0
49.965,14.09.2024 00:00:11,56.4,7.0
49.961,14.09.2024 00:00:12,41.3,7.0
49.962,14.09.2024 00:00:13,27.7,7.0
49.963,14.09.2024 00:00:14,13.8,7.0
49.963,14.09.2024 00:00:15,0.7,7.0
49.959,14.09.2024 00:00:16,345.9,7.0
49.958,14.09.2024 00:00:17,330.6,7.0
49.958,14.09.2024 00:00:18,315.3,7.0
49.958,14.09.2024 00:00:19,300.1,7.0
49.955,14.09.2024 00:00:20,284.1,7.0
49.955,14.09.2024 00:00:21,267.9,7.0
49.96,14.09.2024 00:00:22,253.3,7.0
49.965,14.09.2024 00:00:23,240.8,7.0
49.966,14.09.2024 00:00:24,228.5,7.0
49.965,14.09.2024 00:00:25,215.8,7.0
49.967,14.09.2024 00:00:26,204.1,7.0
49.972,14.09.2024 00:00:27,194.0,7.0
49.974,14.09.2024 00:00:28,185.5,7.0
49.973,14.09.2024 00:00:29,174.9,7.0
49.972,14.09.2024 00:00:30,165.0,7.0
49.971,14.09.2024 00:00:31,154.8,7.0
49.971,14.09.2024 00:00:32,144.2,7.0
49.971,14.09.2024 00:00:33,133.6,7.0
49.97,14.09.2024 00:00:34,122.7,7.0
49.969,14.09.2024 00:00:35,111.6,7.0
49.97,14.09.2024 00:00:36,100.8,7.0
49.97,14.09.2024 00:00:37,90.1,7.0
49.968,14.09.2024 00:00:38,78.5,7.0
49.965,14.09.2024 00:00:39,65.7,7.0
49.963,14.09.2024 00:00:40,52.5,7.0
49.963,14.09.2024 00:00:41,39.3,7.0
49.962,14.09.2024 00:00:42,25.5,7.0
49.959,14.09.2024 00:00:43,10.6,7.0
49.957,14.09.2024 00:00:44,355.0,7.0
49.957,14.09.2024 00:00:45,339.5,7.0
49.958,14.09.2024 00:00:46,324.8,7.0
49.959,14.09.2024 00:00:47,310.0,7.0
49.959,14.09.2024 00:00:48,295.5,7.0
49.96,14.09.2024 00:00:49,280.9,7.0
49.961,14.09.2024 00:00:50,266.8,7.0
49.961,14.09.2024 00:00:51,252.8,7.0
49.961,14.09.2024 00:00:52,239.0,7.0
49.959,14.09.2024 00:00:53,224.2,7.0
49.957,14.09.2024 00:00:54,208.7,7.0
49.958,14.09.2024 00:00:55,193.6,7.0
49.958,14.09.2024 00:00:56,178.7,7.0
49.958,14.09.2024 00:00:57,163.3,7.0
49.958,14.09.2024 00:00:58,148.2,7.0
49.959,14.09.2024 00:00:59,133.6,7.0
49.961,14.09.2024 00:01:00,119.4,7.0
49.962,14.09.2024 00:01:01,105.6,7.0
49.96,14.09.2024 00:01:02,91.3,7.0
49.959,14.09.2024 00:01:03,76.6,7.0
49.96,14.09.2024 00:01:04,62.1,7.0
49.959,14.09.2024 00:01:05,47.6,7.0
49.956,14.09.2024 00:01:06,31.7,7.0
49.954,14.09.2024 00:01:07,15.2,7.0
49.953,14.09.2024 00:01:08,358.4,7.0
49.953,14.09.2024 00:01:09,341.5,7.0
49.95,14.09.2024 00:01:10,323.6,7.0
49.95,14.09.2024 00:01:11,305.4,7.0
49.949,14.09.2024 00:01:12,287.1,7.0
49.949,14.09.2024 00:01:13,268.7,7.0
49.949,14.09.2024 00:01:14,250.4,7.0
49.951,14.09.2024 00:01:15,232.7,7.0
49.954,14.09.2024 00:01:16,215.9,7.0
49.959,14.09.2024 00:01:17,201.0,7.0
49.96,14.09.2024 00:01:18,186.7,7.0
49.96,14.09.2024 00:01:19,172.6,7.0
49.961,14.09.2024 00:01:20,158.4,7.0
49.96,14.09.2024 00:01:21,144.1,7.0
49.96,14.09.2024 00:01:22,129.5,7.0
49.961,14.09.2024 00:01:23,115.2,7.0
49.96,14.09.2024 00:01:24,100.8,7.0
49.959,14.09.2024 00:01:25,86.5,7.0
49.957,14.09.2024 00:01:26,70.7,7.0
49.955,14.09.2024 00:01:27,54.6,7.0
49.954,14.09.2024 00:01:28,39.2,7.0
