frequency,time,phase,d
49.992,17.09.2024 00:00:00,266.9,7.0
49.986,17.09.2024 00:00:01,261.8,7.0
49.98,17.09.2024 00:00:02,254.6,7.0
49.975,17.09.2024 00:00:03,245.3,7.0
49.97,17.09.2024 00:00:04,233.1,7.0
49.968,17.09.2024 00:00:05,221.5,7.0
49.965,17.09.2024 00:00:06,208.8,7.0
49.962,17.09.2024 00:00:07,196.6,7.0
49.961,17.09.2024 00:00:08,182.6,7.0
49.962,17.09.2024 00:00:09,168.4,7.0
49.961,17.09.2024 00:00:10,154.3,7.0
49.959,17.09.2024 00:00:11,139.6,7.0
49.959,17.09.2024 00:00:12,124.5,7.0
49.958,17.09.2024 00:00:13,109.0,7.0
49.957,17.09.2024 00:00:14,93.2,7.0
49.956,17.09.2024 00:00:15,77.2,7.0
49.955,17.09.2024 00:00:16,59.7,7.0
49.954,17.09.2024 00:00:17,43.2,7.0
49.955,17.09.2024 00:00:18,27.1,7.0
49.956,17.09.2024 00:00:19,11.2,7.0
49.957,17.09.2024 00:00:20,355.8,7.0
49.959,17.09.2024 00:00:21,342.5,7.0
49.959,17.09.2024 00:00:22,327.9,7.0
49.961,17.09.2024 00:00:23,313.9,7.0
49.963,17.09.2024 00:00:24,298.6,7.0
49.963,17.09.2024 00:00:25,287.1,7.0
49.965,17.09.2024 00:00:26,274.2,7.0
49.966,17.09.2024 00:00:27,261.9,7.0
49.966,17.09.2024 00:00:28,249.6,7.0
49.965,17.09.2024 00:00:29,236.9,7.0
49.963,17.09.2024 00:00:30,221.8,7.0
49.96,17.09.2024 00:00:31,209.3,7.0
49.959,17.09.2024 00:00:32,192.8,7.0
49.959,17.09.2024 00:00:33,178.4,7.0
49.958,17.09.2024 00:00:34,164.8,7.0
49.956,17.09.2024 00:00:35,148.9,7.0
49.955,17.09.2024 00:00:36,132.7,7.0
49.956,17.09.2024 00:00:37,116.8,7.0
49.957,17.09.2024 00:00:38,101.2,7.0
49.957,17.09.2024 00:00:39,85.9,7.0
49.959,17.09.2024 00:00:40,71.0,7.0
49.959,17.09.2024 00:00:41,56.7,7.0
49.961,17.09.2024 00:00:42,42.6,7.0
49.962,17.09.2024 00:00:43,27.5,7.0
49.963,17.09.2024 00:00:44,14.0,7.0
49.962,17.09.2024 00:00:45,0.7,7.0
49.961,17.09.2024 00:00:46,346.6,7.0
49.961,17.09.2024 00:00:47,333.9,7.0
49.96,17.09.2024 00:00:48,319.5,7.0
49.961,17.09.2024 00:00:49,305.4,7.0
49.96,17.09.2024 00:00:50,291.0,7.0
49.96,17.09.2024 00:00:51,276.7,7.0
49.96,17.09.2024 00:00:52,262.0,7.0
49.959,17.09.2024 00:00:53,247.2,7.0
49.958,17.09.2024 00:00:54,231.9,7.0
49.957,17.09.2024 00:00:55,216.5,7.0
49.957,17.09.2024 00:00:56,199.7,7.0
49.957,17.09.2024 00:00:57,184.7,7.0
49.957,17.09.2024 00:00:58,169.1,7.0
49.956,17.09.2024 00:00:59,153.2,7.0
49.955,17.09.2024 00:01:00,138.1,7.0
49.956,17.09.2024 00:01:01,122.3,7.0
49.957,17.09.2024 00:01:02,106.7,7.0
49.958,17.09.2024 00:01:03,91.5,7.0
49.957,17.09.2024 00:01:04,74.9,7.0
49.956,17.09.2024 00:01:05,61.0,7.0
49.956,17.09.2024 00:01:06,45.1,7.0
49.956,17.09.2024 00:01:07,29.3,7.0
49.957,17.09.2024 00:01:08,13.6,7.0
49.958,17.09.2024 00:01:09,356.8,7.0
49.96,17.09.2024 00:01:10,342.4,7.0
49.961,17.09.2024 00:01:11,330.2,7.0
49.962,17.09.2024 00:01:12,314.8,7.0
49.962,17.09.2024 00:01:13,301.1,7.0
49.961,17.09.2024 00:01:14,288.7,7.0
49.96,17.09.2024 00:01:15,274.2,7.0
49.959,17.09.2024 00:01:16,259.2,7.0
49.959,17.09.2024 00:01:17,244.3,7.0
49.959,17.09.2024 00:01:18,229.8,7.0
49.958,17.09.2024 00:01:19,213.0,7.0
49.958,17.09.2024 00:01:20,199.4,7.0
49.957,17.09.2024 00:01:21,183.8,7.0
49.957,17.09.2024 00:01:22,166.9,7.0
49.957,17.09.2024 00:01:23,151.3,7.0
49.956,17.09.2024 00:01:24,137.4,7.0
49.955,17.09.2024 00:01:25,119.3,7.0
49.955,17.09.2024 00:01:26,104.9,7.0
49.956,17.09.2024 00:01:27,89.0,7.0
49.955,17.09.2024 00:01:28,72.7,7.0
49.954,17.09.2024 00:01:29,56.7,7.0
49.953,17.09.2024 00:01:30,39.6,7.0
49.954,17.09.2024 00:01:31,23.0,7.0
49.954,17.09.2024 00:01:32,6.4,7.0
49.955,17.09.2024 00:01:33,350.0,7.0
49.955,17.09.2024 00:01:34,332.5,7.0
49.959,17.09.2024 00:01:35,319.1,7.0
49.963,17.09.2024 00:01:36,304.0,7.0
49.963,17.09.2024 00:01:37,290.7,7.0
49.961,17.09.2024 00:01:38,277.8,7.0
49.961,17.09.2024 00:01:39,263.7,7.0
49.961,17.09.2024 00:01:40,249.6,7.0
49.961,17.09.2024 00:01:41,235.8,7.0
49.962,17.09.2024 00:01:42,222.0,7.0
49.962,17.09.2024 00:01:43,208.3,7.0
49.964,17.09.2024 00:01:44,195.3,7.0
49.964,17.09.2024 00:01:45,182.6,7.0
49.962,17.09.2024 00:01:46,169.0,7.0
49.961,17.09.2024 00:01:47,154.8,7.0
