frequency,time,phase,d
49.995,07.09.2024 00:00:00,174.5,7.0
49.99,07.09.2024 00:00:01,170.9,7.0
49.984,07.09.2024 00:00:02,166.0,7.0
49.979,07.09.2024 00:00:03,158.1,7.0
49.974,07.09.2024 00:00:04,148.9,7.0
49.974,07.09.2024 00:00:05,139.5,7.0
49.972,07.09.2024 00:00:06,129.4,7.0
49.97,07.09.2024 00:00:07,118.7,7.0
49.97,07.09.2024 00:00:08,106.6,7.0
49.969,07.09.2024 00:00:09,94.6,7.0
49.966,07.09.2024 00:00:10,82.2,7.0
49.965,07.09.2024 00:00:11,69.5,7.0
49.965,07.09.2024 00:00:12,57.0,7.0
49.963,07.09.2024 00:00:13,43.5,7.0
49.962,07.09.2024 00:00:14,29.7,7.0
49.962,07.09.2024 00:00:15,15.4,7.0
49.96,07.09.2024 00:00:16,0.5,7.0
49.957,07.09.2024 00:00:17,345.1,7.0
49.957,07.09.2024 00:00:18,329.8,7.0
49.959,07.09.2024 00:00:19,315.0,7.0
49.96,07.09.2024 00:00:20,301.3,7.0
49.963,07.09.2024 00:00:21,287.9,7.0
49.965,07.09.2024 00:00:22,275.5,7.0
49.968,07.09.2024 00:00:23,263.9,7.0
49.97,07.09.2024 00:00:24,253.1,7.0
49.971,07.09.2024 00:00:25,242.7,7.0
49.972,07.09.2024 00:00:26,232.4,7.0
49.97,07.09.2024 00:00:27,221.5,7.0
49.969,07.09.2024 00:00:28,210.4,7.0
49.968,07.09.2024 00:00:29,199.0,7.0
49.966,07.09.2024 00:00:30,186.7,7.0
49.964,07.09.2024 00:00:31,173.8,7.0
49.963,07.09.2024 00:00:32,160.5,7.0
49.962,07.09.2024 00:00:33,146.7,7.0
49.963,07.09.2024 00:00:34,133.2,7.0
49.963,07.09.2024 00:00:35,119.7,7.0
49.962,07.09.2024 00:00:36,106.1,7.0
49.964,07.09.2024 00:00:37,93.6,7.0
49.964,07.09.2024 00:00:38,80.7,7.0
49.963,07.09.2024 00:00:39,67.5,7.0
49.961,07.09.2024 00:00:40,53.7,7.0
49.959,07.09.2024 00:00:41,38.8,7.0
49.959,07.09.2024 00:00:42,23.5,7.0
49.956,07.09.2024 00:00:43,7.9,7.0
49.953,07.09.2024 00:00:44,350.9,7.0
49.951,07.09.2024 00:00:45,333.0,7.0
49.949,07.09.2024 00:00:46,314.6,7.0
49.948,07.09.2024 00:00:47,295.7,7.0
49.946,07.09.2024 00:00:48,276.2,7.0
49.945,07.09.2024 00:00:49,256.4,7.0
49.946,07.09.2024 00:00:50,236.6,7.0
49.947,07.09.2024 00:00:51,217.5,7.0
49.948,07.09.2024 00:00:52,198.7,7.0
49.95,07.09.2024 00:00:53,180.4,7.0
49.951,07.09.2024 00:00:54,162.8,7.0
49.953,07.09.2024 00:00:55,146.4,7.0
49.953,07.09.2024 00:00:56,129.4,7.0
49.953,07.09.2024 00:00:57,112.5,7.0
49.952,07.09.2024 00:00:58,95.3,7.0
49.951,07.09.2024 00:00:59,77.6,7.0
49.95,07.09.2024 00:01:00,59.9,7.0
49.948,07.09.2024 00:01:01,41.1,7.0
49.947,07.09.2024 00:01:02,22.1,7.0
49.947,07.09.2024 00:01:03,3.0,7.0
49.947,07.09.2024 00:01:04,344.0,7.0
49.946,07.09.2024 00:01:05,324.3,7.0
49.947,07.09.2024 00:01:06,305.2,7.0
49.95,07.09.2024 00:01:07,287.3,7.0
49.955,07.09.2024 00:01:08,270.9,7.0
49.956,07.09.2024 00:01:09,254.9,7.0
49.955,07.09.2024 00:01:10,238.8,7.0
49.957,07.09.2024 00:01:11,223.4,7.0
49.959,07.09.2024 00:01:12,209.1,7.0
49.96,07.09.2024 00:01:13,194.8,7.0
49.958,07.09.2024 00:01:14,179.5,7.0
49.957,07.09.2024 00:01:15,163.9,7.0
49.955,07.09.2024 00:01:16,147.6,7.0
49.954,07.09.2024 00:01:17,131.1,7.0
49.955,07.09.2024 00:01:18,114.7,7.0
49.955,07.09.2024 00:01:19,98.4,7.0
49.957,07.09.2024 00:01:20,83.0,7.0
49.961,07.09.2024 00:01:21,69.1,7.0
49.964,07.09.2024 00:01:22,56.2,7.0
49.964,07.09.2024 00:01:23,43.4,7.0
49.964,07.09.2024 00:01:24,30.4,7.0
49.964,07.09.2024 00:01:25,17.4,7.0
49.964,07.09.2024 00:01:26,4.4,7.0
49.965,07.09.2024 00:01:27,351.7,7.0
49.964,07.09.2024 00:01:28,338.4,7.0
49.964,07.09.2024 00:01:29,325.4,7.0
49.963,07.09.2024 00:01:30,312.3,7.0
49.962,07.09.2024 00:01:31,298.6,7.0
49.964,07.09.2024 00:01:32,285.5,7.0
49.966,07.09.2024 00:01:33,273.0,7.0
49.968,07.09.2024 00:01:34,261.5,7.0
49.969,07.09.2024 00:01:35,250.0,7.0
49.97,07.09.2024 00:01:36,239.1,7.0
49.971,07.09.2024 00:01:37,228.7,7.0
49.97,07.09.2024 00:01:38,217.9,7.0
49.971,07.09.2024 00:01:39,207.3,7.0
49.971,07.09.2024 00:01:40,197.1,7.0
49.971,07.09.2024 00:01:41,186.7,7.0
49.971,07.09.2024 00:01:42,176.3,7.0
49.968,07.09.2024 00:01:43,164.7,7.0
49.966,07.09.2024 00:01:44,152.4,7.0
49.965,07.09.2024 00:01:45,139.6,7.0
49.964,07.09.2024 00:01:46,126.7,7.0
49.965,07.09.2024 00:01:47,114.5,7.0
49.965,07.09.2024 00:01:48,102.0,7.0
49.965,07.09.2024 00:01:49,89.3,7.0
49.965,07.09.2024 00:01:50,76.5,7.0
49.964,07.09.2024 00:01:51,63.9,7.0
49.964,07.09.2024 00:01:52,50.9,7.0
49.963,07.09.2024 00:01:53,37.5,7.0
49.964,07.09.2024 00:01:54,24.6,7.0
49.964,07.09.2024 00:01:55,11.7,7.0
49.965,07.09.2024 00:01:56,359.0,7.0
49.965,07.09.2024 00:01:57,346.1,7.0
49.963,07.09.2024 00:01:58,333.0,7.0
49.963,07.09.2024 00:01:59,319.7,7.0
49.965,07.09.2024 00:02:00,306.9,7.0
49.966,07.09.2024 00:02:01,294.8,7.0
49.968,07.09.2024 00:02:02,283.1,7.0
49.968,07.09.2024 00:02:03,271.6,7.0
49.969,07.09.2024 00:02:04,260.6,7.0
49.968,07.09.2024 00:02:05,249.0,7.0
49.968,07.09.2024 00:02:06,237.4,7.0
49.968,07.09.2024 00:02:07,225.6,7.0
49.967,07.09.2024 00:02:08,213.6,7.0
49.965,07.09.2024 00:02:09,201.2,7.0
49.963,07.09.2024 00:02:10,187.2,7.0
49.961,07.09.2024 00:02:11,173.6,7.0
49.959,07.09.2024 00:02:12,158.8,7.0
49.959,07.09.2024 00:02:13,143.9,7.0
49.96,07.09.2024 00:02:14,129.5,7.0
49.964,07.09.2024 00:02:15,116.5,7.0
49.966,07.09.2024 00:02:16,104.2,7.0
49.967,07.09.2024 00:02:17,92.2,7.0
49.968,07.09.2024 00:02:18,80.6,7.0
49.971,07.09.2024 00:02:19,70.2,7.0
49.974,07.09.2024 00:02:20,60.7,7.0
49.975,07.09.2024 00:02:21,51.7,7.0
49.975,07.09.2024 00:02:22,43.2,7.0
49.975,07.09.2024 00:02:23,34.1,7.0
