frequency,time,phase,d
50.001,20.09.2024 00:00:00,264.2,7.0
49.999,20.09.2024 00:00:01,263.7,7.0
49.997,20.09.2024 00:00:02,262.5,7.0
49.993,20.09.2024 00:00:03,259.0,7.0
49.988,20.09.2024 00:00:04,255.5,7.0
49.984,20.09.2024 00:00:05,249.6,7.0
49.98,20.09.2024 00:00:06,241.6,7.0
49.978,20.09.2024 00:00:07,234.9,7.0
49.978,20.09.2024 00:00:08,225.6,7.0
49.975,20.09.2024 00:00:09,214.9,7.0
49.968,20.09.2024 00:00:10,203.3,7.0
49.966,20.09.2024 00:00:11,190.6,7.0
49.967,20.09.2024 00:00:12,179.2,7.0
49.968,20.09.2024 00:00:13,167.8,7.0
49.969,20.09.2024 00:00:14,157.0,7.0
49.969,20.09.2024 00:00:15,147.1,7.0
49.972,20.09.2024 00:00:16,137.7,7.0
49.976,20.09.2024 00:00:17,129.1,7.0
49.977,20.09.2024 00:00:18,120.9,7.0
49.979,20.09.2024 00:00:19,113.2,7.0
49.98,20.09.2024 00:00:20,105.1,7.0
49.981,20.09.2024 00:00:21,99.1,7.0
49.984,20.09.2024 00:00:22,93.1,7.0
49.985,20.09.2024 00:00:23,87.5,7.0
49.984,20.09.2024 00:00:24,80.8,7.0
49.984,20.09.2024 00:00:25,74.8,7.0
49.982,20.09.2024 00:00:26,69.3,7.0
49.981,20.09.2024 00:00:27,62.6,7.0
49.982,20.09.2024 00:00:28,55.9,7.0
49.981,20.09.2024 00:00:29,49.4,7.0
49.981,20.09.2024 00:00:30,42.5,7.0
49.978,20.09.2024 00:00:31,34.6,7.0
49.978,20.09.2024 00:00:32,26.7,7.0
49.978,20.09.2024 00:00:33,18.7,7.0
49.978,20.09.2024 00:00:34,10.8,7.0
49.979,20.09.2024 00:00:35,3.2,7.0
49.978,20.09.2024 00:00:36,355.2,7.0
49.978,20.09.2024 00:00:37,346.2,7.0
49.978,20.09.2024 00:00:38,339.3,7.0
49.978,20.09.2024 00:00:39,331.3,7.0
49.979,20.09.2024 00:00:40,323.7,7.0
49.979,20.09.2024 00:00:41,316.0,7.0
49.979,20.09.2024 00:00:42,308.5,7.0
49.981,20.09.2024 00:00:43,301.6,7.0
49.98,20.09.2024 00:00:44,294.5,7.0
49.979,20.09.2024 00:00:45,286.8,7.0
49.979,20.09.2024 00:00:46,278.8,7.0
49.977,20.09.2024 00:00:47,271.1,7.0
49.975,20.09.2024 00:00:48,262.1,7.0
49.974,20.09.2024 00:00:49,252.7,7.0
49.974,20.09.2024 00:00:50,244.0,7.0
49.975,20.09.2024 00:00:51,234.8,7.0
49.974,20.09.2024 00:00:52,225.3,7.0
49.975,20.09.2024 00:00:53,215.0,7.0
49.977,20.09.2024 00:00:54,206.5,7.0
49.977,20.09.2024 00:00:55,198.2,7.0
49.977,20.09.2024 00:00:56,191.0,7.0
49.976,20.09.2024 00:00:57,182.4,7.0
49.979,20.09.2024 00:00:58,174.7,7.0
49.979,20.09.2024 00:00:59,167.3,7.0
49.978,20.09.2024 00:01:00,159.3,7.0
49.975,20.09.2024 00:01:01,150.3,7.0
49.973,20.09.2024 00:01:02,140.6,7.0
49.972,20.09.2024 00:01:03,130.7,7.0
49.971,20.09.2024 00:01:04,119.9,7.0
49.97,20.09.2024 00:01:05,109.0,7.0
49.97,20.09.2024 00:01:06,98.2,7.0
49.971,20.09.2024 00:01:07,88.1,7.0
49.973,20.09.2024 00:01:08,78.4,7.0
49.974,20.09.2024 00:01:09,68.9,7.0
49.974,20.09.2024 00:01:10,59.7,7.0
49.974,20.09.2024 00:01:11,49.5,7.0
49.975,20.09.2024 00:01:12,41.8,7.0
49.976,20.09.2024 00:01:13,31.8,7.0
49.977,20.09.2024 00:01:14,24.9,7.0
49.978,20.09.2024 00:01:15,15.5,7.0
49.979,20.09.2024 00:01:16,9.3,7.0
49.979,20.09.2024 00:01:17,0.4,7.0
49.98,20.09.2024 00:01:18,352.9,7.0
49.978,20.09.2024 00:01:19,345.2,7.0
49.979,20.09.2024 00:01:20,338.9,7.0
49.979,20.09.2024 00:01:21,331.3,7.0
49.98,20.09.2024 00:01:22,324.0,7.0
49.98,20.09.2024 00:01:23,316.7,7.0
49.98,20.09.2024 00:01:24,308.6,7.0
49.981,20.09.2024 00:01:25,301.5,7.0
49.981,20.09.2024 00:01:26,295.6,7.0
49.981,20.09.2024 00:01:27,289.0,7.0
49.982,20.09.2024 00:01:28,282.2,7.0
49.982,20.09.2024 00:01:29,275.9,7.0
49.983,20.09.2024 00:01:30,269.6,7.0
49.982,20.09.2024 00:01:31,263.0,7.0
49.979,20.09.2024 00:01:32,255.4,7.0
49.979,20.09.2024 00:01:33,247.8,7.0
49.978,20.09.2024 00:01:34,240.4,7.0
49.978,20.09.2024 00:01:35,232.5,7.0
49.977,20.09.2024 00:01:36,223.8,7.0
49.976,20.09.2024 00:01:37,215.2,7.0
49.977,20.09.2024 00:01:38,206.8,7.0
49.977,20.09.2024 00:01:39,198.3,7.0
49.977,20.09.2024 00:01:40,189.0,7.0
49.978,20.09.2024 00:01:41,181.3,7.0
49.979,20.09.2024 00:01:42,174.3,7.0
49.979,20.09.2024 00:01:43,166.8,7.0
49.979,20.09.2024 00:01:44,159.5,7.0
49.981,20.09.2024 00:01:45,152.6,7.0
49.983,20.09.2024 00:01:46,146.3,7.0
49.983,20.09.2024 00:01:47,140.0,7.0
49.982,20.09.2024 00:01:48,132.7,7.0
49.983,20.09.2024 00:01:49,127.5,7.0
49.985,20.09.2024 00:01:50,122.1,7.0
49.986,20.09.2024 00:01:51,116.9,7.0
49.986,20.09.2024 00:01:52,111.7,7.0
49.986,20.09.2024 00:01:53,106.5,7.0
49.987,20.09.2024 00:01:54,100.8,7.0
49.987,20.09.2024 00:01:55,97.6,7.0
49.987,20.09.2024 00:01:56,92.9,7.0
49.987,20.09.2024 00:01:57,88.1,7.0
49.986,20.09.2024 00:01:58,82.2,7.0
49.987,20.09.2024 00:01:59,77.1,7.0
49.987,20.09.2024 00:02:00,73.2,7.0
49.985,20.09.2024 00:02:01,66.9,7.0
49.985,20.09.2024 00:02:02,62.5,7.0
49.983,20.09.2024 00:02:03,56.4,7.0
49.981,20.09.2024 00:02:04,48.4,7.0
49.981,20.09.2024 00:02:05,41.4,7.0
49.98,20.09.2024 00:02:06,33.8,7.0
49.979,20.09.2024 00:02:07,26.3,7.0
49.979,20.09.2024 00:02:08,19.8,7.0
49.977,20.09.2024 00:02:09,11.6,7.0
49.978,20.09.2024 00:02:10,2.4,7.0
49.977,20.09.2024 00:02:11,354.1,7.0
49.977,20.09.2024 00:02:12,346.9,7.0
49.977,20.09.2024 00:02:13,337.4,7.0
49.976,20.09.2024 00:02:14,328.7,7.0
49.976,20.09.2024 00:02:15,321.0,7.0
49.977,20.09.2024 00:02:16,311.9,7.0
49.976,20.09.2024 00:02:17,303.2,7.0
49.975,20.09.2024 00:02:18,295.5,7.0
49.974,20.09.2024 00:02:19,286.2,7.0
49.975,20.09.2024 00:02:20,277.1,7.0
49.976,20.09.2024 00:02:21,267.2,7.0
49.976,20.09.2024 00:02:22,258.6,7.0
49.976,20.09.2024 00:02:23,249.8,7.0
49.976,20.09.2024 00:02:24,241.0,7.0
49.978,20.09.2024 00:02:25,233.1,7.0
49.979,20.09.2024 00:02:26,226.8,7.0
49.981,20.09.2024 00:02:27,219.8,7.0
49.981,20.09.2024 00:02:28,212.0,7.0
49.981,20.09.2024 00:02:29,205.1,7.0
49.983,20.09.2024 00:02:30,199.1,7.0
49.985,20.09.2024 00:02:31,193.6,7.0
49.984,20.09.2024 00:02:32,189.0,7.0
49.983,20.09.2024 00:02:33,182.9,7.0
49.982,20.09.2024 00:02:34,176.2,7.0
49.982,20.09.2024 00:02:35,169.5,7.0
49.98,20.09.2024 00:02:36,162.6,7.0
49.979,20.09.2024 00:02:37,154.2,7.0
49.978,20.09.2024 00:02:38,147.0,7.0
49.978,20.09.2024 00:02:39,139.6,7.0
49.978,20.09.2024 00:02:40,131.5,7.0
49.978,20.09.2024 00:02:41,123.5,7.0
49.977,20.09.2024 00:02:42,114.2,7.0
49.977,20.09.2024 00:02:43,105.8,7.0
49.979,20.09.2024 00:02:44,98.1,7.0
49.98,20.09.2024 00:02:45,90.7,7.0
49.98,20.09.2024 00:02:46,84.6,7.0
49.981,20.09.2024 00:02:47,77.7,7.0
49.982,20.09.2024 00:02:48,71.0,7.0
49.982,20.09.2024 00:02:49,64.7,7.0
49.983,20.09.2024 00:02:50,57.2,7.0
49.983,20.09.2024 00:02:51,50.9,7.0
49.984,20.09.2024 00:02:52,45.0,7.0
49.985,20.09.2024 00:02:53,40.8,7.0
49.986,20.09.2024 00:02:54,35.3,7.0
49.988,20.09.2024 00:02:55,31.8,7.0
49.988,20.09.2024 00:02:56,27.3,7.0
49.986,20.09.2024 00:02:57,21.4,7.0
49.983,20.09.2024 00:02:58,16.2,7.0
49.982,20.09.2024 00:02:59,9.4,7.0
49.981,20.09.2024 00:03:00,2.6,7.0
49.981,20.09.2024 00:03:01,356.3,7.0
49.98,20.09.2024 00:03:02,349.2,7.0
49.978,20.09.2024 00:03:03,340.1,7.0
49.978,20.09.2024 00:03:04,333.2,7.0
49.978,20.09.2024 00:03:05,325.1,7.0
49.978,20.09.2024 00:03:06,317.2,7.0
49.978,20.09.2024 00:03:07,307.7,7.0
49.976,20.09.2024 00:03:08,299.2,7.0
49.975,20.09.2024 00:03:09,291.7,7.0
49.974,20.09.2024 00:03:10,280.8,7.0
49.973,20.09.2024 00:03:11,272.7,7.0
49.972,20.09.2024 00:03:12,261.8,7.0
49.97,20.09.2024 00:03:13,251.0,7.0
49.97,20.09.2024 00:03:14,240.8,7.0
49.971,20.09.2024 00:03:15,230.3,7.0
49.972,20.09.2024 00:03:16,220.3,7.0
49.973,20.09.2024 00:03:17,210.4,7.0
49.973,20.09.2024 00:03:18,200.6,7.0
49.974,20.09.2024 00:03:19,191.2,7.0
49.976,20.09.2024 00:03:20,182.4,7.0
49.976,20.09.2024 00:03:21,173.5,7.0
49.975,20.09.2024 00:03:22,165.2,7.0
49.976,20.09.2024 00:03:23,156.8,7.0
49.978,20.09.2024 00:03:24,148.7,7.0
49.98,20.09.2024 00:03:25,141.4,7.0
49.981,20.09.2024 00:03:26,133.0,7.0
49.981,20.09.2024 00:03:27,127.3,7.0
49.982,20.09.2024 00:03:28,120.9,7.0
49.985,20.09.2024 00:03:29,115.3,7.0
49.988,20.09.2024 00:03:30,111.1,7.0
49.989,20.09.2024 00:03:31,107.2,7.0
49.99,20.09.2024 00:03:32,103.7,7.0
49.99,20.09.2024 00:03:33,100.1,7.0
49.991,20.09.2024 00:03:34,96.8,7.0
49.992,20.09.2024 00:03:35,93.7,7.0
49.992,20.09.2024 00:03:36,91.0,7.0
49.993,20.09.2024 00:03:37,88.4,7.0
49.993,20.09.2024 00:03:38,85.0,7.0
49.991,20.09.2024 00:03:39,82.3,7.0
49.989,20.09.2024 00:03:40,78.2,7.0
49.988,20.09.2024 00:03:41,72.9,7.0
49.987,20.09.2024 00:03:42,68.1,7.0
49.986,20.09.2024 00:03:43,62.9,7.0
49.985,20.09.2024 00:03:44,57.7,7.0
49.986,20.09.2024 00:03:45,52.6,7.0
49.985,20.09.2024 00:03:46,48.5,7.0
49.984,20.09.2024 00:03:47,43.0,7.0
49.985,20.09.2024 00:03:48,37.4,7.0
49.983,20.09.2024 00:03:49,31.2,7.0
49.983,20.09.2024 00:03:50,24.9,7.0
49.982,20.09.2024 00:03:51,17.3,7.0
49.98,20.09.2024 00:03:52,11.1,7.0
49.98,20.09.2024 00:03:53,2.7,7.0
49.979,20.09.2024 00:03:54,356.0,7.0
49.977,20.09.2024 00:03:55,347.7,7.0
49.977,20.09.2024 00:03:56,339.5,7.0
49.976,20.09.2024 00:03:57,330.9,7.0
49.975,20.09.2024 00:03:58,321.9,7.0
49.975,20.09.2024 00:03:59,312.6,7.0
49.974,20.09.2024 00:04:00,303.3,7.0
49.973,20.09.2024 00:04:01,293.4,7.0
49.971,20.09.2024 00:04:02,282.9,7.0
49.97,20.09.2024 00:04:03,271.0,7.0
49.969,20.09.2024 00:04:04,260.7,7.0
49.967,20.09.2024 00:04:05,247.9,7.0
49.967,20.09.2024 00:04:06,237.6,7.0
49.967,20.09.2024 00:04:07,225.5,7.0
49.967,20.09.2024 00:04:08,213.5,7.0
49.968,20.09.2024 00:04:09,202.0,7.0
49.969,20.09.2024 00:04:10,190.6,7.0
49.969,20.09.2024 00:04:11,178.4,7.0
49.968,20.09.2024 00:04:12,167.7,7.0
49.969,20.09.2024 00:04:13,156.3,7.0
49.969,20.09.2024 00:04:14,145.0,7.0
49.968,20.09.2024 00:04:15,133.7,7.0
49.967,20.09.2024 00:04:16,121.6,7.0
49.967,20.09.2024 00:04:17,109.7,7.0
49.967,20.09.2024 00:04:18,97.8,7.0
49.967,20.09.2024 00:04:19,85.8,7.0
49.968,20.09.2024 00:04:20,74.0,7.0
49.967,20.09.2024 00:04:21,62.3,7.0
49.969,20.09.2024 00:04:22,51.0,7.0
49.97,20.09.2024 00:04:23,40.3,7.0
49.972,20.09.2024 00:04:24,30.0,7.0
49.973,20.09.2024 00:04:25,20.2,7.0
49.974,20.09.2024 00:04:26,10.0,7.0
49.976,20.09.2024 00:04:27,2.6,7.0
49.978,20.09.2024 00:04:28,354.5,7.0
49.977,20.09.2024 00:04:29,346.3,7.0
49.978,20.09.2024 00:04:30,338.2,7.0
49.977,20.09.2024 00:04:31,329.9,7.0
49.977,20.09.2024 00:04:32,321.6,7.0
49.975,20.09.2024 00:04:33,311.4,7.0
49.974,20.09.2024 00:04:34,301.9,7.0
49.973,20.09.2024 00:04:35,293.3,7.0
49.974,20.09.2024 00:04:36,282.4,7.0
49.973,20.09.2024 00:04:37,274.0,7.0
49.974,20.09.2024 00:04:38,264.6,7.0
49.976,20.09.2024 00:04:39,255.6,7.0
49.978,20.09.2024 00:04:40,247.8,7.0
49.98,20.09.2024 00:04:41,240.6,7.0
49.981,20.09.2024 00:04:42,233.1,7.0
49.982,20.09.2024 00:04:43,227.3,7.0
49.982,20.09.2024 00:04:44,220.1,7.0
49.982,20.09.2024 00:04:45,214.4,7.0
49.982,20.09.2024 00:04:46,207.9,7.0
49.98,20.09.2024 00:04:47,200.8,7.0
49.98,20.09.2024 00:04:48,194.2,7.0
49.979,20.09.2024 00:04:49,186.7,7.0
49.978,20.09.2024 00:04:50,178.5,7.0
49.977,20.09.2024 00:04:51,170.2,7.0
49.977,20.09.2024 00:04:52,161.8,7.0
49.976,20.09.2024 00:04:53,152.9,7.0
49.975,20.09.2024 00:04:54,142.7,7.0
49.975,20.09.2024 00:04:55,134.8,7.0
49.975,20.09.2024 00:04:56,124.6,7.0
49.975,20.09.2024 00:04:57,115.5,7.0
49.975,20.09.2024 00:04:58,106.4,7.0
49.977,20.09.2024 00:04:59,97.8,7.0
49.977,20.09.2024 00:05:00,89.4,7.0
49.975,20.09.2024 00:05:01,81.8,7.0
49.974,20.09.2024 00:05:02,72.4,7.0
49.973,20.09.2024 00:05:03,62.7,7.0
49.972,20.09.2024 00:05:04,52.6,7.0
49.971,20.09.2024 00:05:05,41.2,7.0
49.969,20.09.2024 00:05:06,31.0,7.0
49.969,20.09.2024 00:05:07,19.8,7.0
49.97,20.09.2024 00:05:08,8.7,7.0
49.971,20.09.2024 00:05:09,358.1,7.0
49.971,20.09.2024 00:05:10,348.4,7.0
49.972,20.09.2024 00:05:11,336.9,7.0
49.972,20.09.2024 00:05:12,326.7,7.0
49.972,20.09.2024 00:05:13,316.5,7.0
49.973,20.09.2024 00:05:14,308.1,7.0
49.972,20.09.2024 00:05:15,298.1,7.0
49.972,20.09.2024 00:05:16,288.2,7.0
49.971,20.09.2024 00:05:17,277.6,7.0
49.969,20.09.2024 00:05:18,266.4,7.0
49.968,20.09.2024 00:05:19,253.8,7.0
49.966,20.09.2024 00:05:20,241.4,7.0
49.964,20.09.2024 00:05:21,229.2,7.0
49.963,20.09.2024 00:05:22,214.6,7.0
49.963,20.09.2024 00:05:23,202.2,7.0
49.963,20.09.2024 00:05:24,188.8,7.0
49.965,20.09.2024 00:05:25,176.1,7.0
49.967,20.09.2024 00:05:26,164.2,7.0
49.97,20.09.2024 00:05:27,152.4,7.0
49.973,20.09.2024 00:05:28,143.5,7.0
49.975,20.09.2024 00:05:29,134.6,7.0
49.978,20.09.2024 00:05:30,126.5,7.0
49.98,20.09.2024 00:05:31,119.8,7.0
49.982,20.09.2024 00:05:32,113.1,7.0
49.983,20.09.2024 00:05:33,105.8,7.0
49.985,20.09.2024 00:05:34,101.8,7.0
49.986,20.09.2024 00:05:35,96.5,7.0
49.987,20.09.2024 00:05:36,91.9,7.0
49.987,20.09.2024 00:05:37,87.0,7.0
49.985,20.09.2024 00:05:38,80.7,7.0
49.984,20.09.2024 00:05:39,74.9,7.0
49.984,20.09.2024 00:05:40,69.9,7.0
49.986,20.09.2024 00:05:41,64.9,7.0
49.986,20.09.2024 00:05:42,59.6,7.0
49.983,20.09.2024 00:05:43,53.5,7.0
49.982,20.09.2024 00:05:44,46.9,7.0
49.98,20.09.2024 00:05:45,39.7,7.0
49.982,20.09.2024 00:05:46,33.3,7.0
49.983,20.09.2024 00:05:47,27.2,7.0
49.985,20.09.2024 00:05:48,21.5,7.0
49.987,20.09.2024 00:05:49,16.7,7.0
49.987,20.09.2024 00:05:50,11.9,7.0
49.989,20.09.2024 00:05:51,7.9,7.0
49.987,20.09.2024 00:05:52,3.2,7.0
49.986,20.09.2024 00:05:53,358.7,7.0
49.987,20.09.2024 00:05:54,354.0,7.0
49.989,20.09.2024 00:05:55,350.0,7.0
49.991,20.09.2024 00:05:56,346.8,7.0
49.99,20.09.2024 00:05:57,342.1,7.0
49.99,20.09.2024 00:05:58,339.5,7.0
49.99,20.09.2024 00:05:59,335.9,7.0
49.99,20.09.2024 00:06:00,332.2,7.0
49.989,20.09.2024 00:06:01,328.4,7.0
49.989,20.09.2024 00:06:02,324.4,7.0
49.989,20.09.2024 00:06:03,320.5,7.0
49.989,20.09.2024 00:06:04,316.4,7.0
49.988,20.09.2024 00:06:05,312.3,7.0
49.987,20.09.2024 00:06:06,307.7,7.0
49.986,20.09.2024 00:06:07,302.8,7.0
49.987,20.09.2024 00:06:08,296.9,7.0
49.987,20.09.2024 00:06:09,293.4,7.0
49.987,20.09.2024 00:06:10,288.8,7.0
49.988,20.09.2024 00:06:11,283.3,7.0
49.988,20.09.2024 00:06:12,279.0,7.0
49.987,20.09.2024 00:06:13,275.2,7.0
49.987,20.09.2024 00:06:14,270.0,7.0
49.989,20.09.2024 00:06:15,267.0,7.0
49.988,20.09.2024 00:06:16,262.8,7.0
49.988,20.09.2024 00:06:17,258.2,7.0
49.989,20.09.2024 00:06:18,253.0,7.0
49.991,20.09.2024 00:06:19,251.0,7.0
49.993,20.09.2024 00:06:20,248.5,7.0
49.993,20.09.2024 00:06:21,244.8,7.0
49.993,20.09.2024 00:06:22,243.5,7.0
49.993,20.09.2024 00:06:23,240.8,7.0
49.995,20.09.2024 00:06:24,239.1,7.0
49.998,20.09.2024 00:06:25,238.2,7.0
49.998,20.09.2024 00:06:26,237.4,7.0
49.997,20.09.2024 00:06:27,236.5,7.0
49.997,20.09.2024 00:06:28,235.0,7.0
49.998,20.09.2024 00:06:29,234.3,7.0
49.999,20.09.2024 00:06:30,233.7,7.0
49.998,20.09.2024 00:06:31,233.0,7.0
49.997,20.09.2024 00:06:32,231.8,7.0
49.996,20.09.2024 00:06:33,230.6,7.0
49.997,20.09.2024 00:06:34,229.3,7.0
49.998,20.09.2024 00:06:35,228.4,7.0
49.998,20.09.2024 00:06:36,226.8,7.0
49.997,20.09.2024 00:06:37,226.7,7.0
49.997,20.09.2024 00:06:38,224.3,7.0
49.997,20.09.2024 00:06:39,224.2,7.0
49.997,20.09.2024 00:06:40,223.2,7.0
49.998,20.09.2024 00:06:41,222.4,7.0
49.996,20.09.2024 00:06:42,220.9,7.0
49.995,20.09.2024 00:06:43,219.0,7.0
49.993,20.09.2024 00:06:44,216.4,7.0
49.991,20.09.2024 00:06:45,213.1,7.0
49.991,20.09.2024 00:06:46,209.8,7.0
49.99,20.09.2024 00:06:47,206.1,7.0
49.988,20.09.2024 00:06:48,201.8,7.0
49.988,20.09.2024 00:06:49,197.3,7.0
49.988,20.09.2024 00:06:50,193.0,7.0
49.988,20.09.2024 00:06:51,188.6,7.0
49.988,20.09.2024 00:06:52,184.0,7.0
49.987,20.09.2024 00:06:53,179.4,7.0
49.988,20.09.2024 00:06:54,175.1,7.0
49.989,20.09.2024 00:06:55,171.2,7.0
49.991,20.09.2024 00:06:56,168.0,7.0
49.992,20.09.2024 00:06:57,165.1,7.0
49.994,20.09.2024 00:06:58,163.6,7.0
49.995,20.09.2024 00:06:59,161.6,7.0
49.994,20.09.2024 00:07:00,159.6,7.0
49.993,20.09.2024 00:07:01,157.0,7.0
49.99,20.09.2024 00:07:02,153.5,7.0
49.99,20.09.2024 00:07:03,149.7,7.0
49.988,20.09.2024 00:07:04,145.3,7.0
49.986,20.09.2024 00:07:05,139.1,7.0
49.986,20.09.2024 00:07:06,135.2,7.0
49.985,20.09.2024 00:07:07,129.8,7.0
49.986,20.09.2024 00:07:08,124.7,7.0
49.986,20.09.2024 00:07:09,119.5,7.0
49.987,20.09.2024 00:07:10,114.7,7.0
49.987,20.09.2024 00:07:11,110.1,7.0
49.988,20.09.2024 00:07:12,105.8,7.0
49.989,20.09.2024 00:07:13,101.9,7.0
49.989,20.09.2024 00:07:14,98.0,7.0
49.99,20.09.2024 00:07:15,94.3,7.0
49.99,20.09.2024 00:07:16,90.6,7.0
49.991,20.09.2024 00:07:17,86.4,7.0
49.991,20.09.2024 00:07:18,83.2,7.0
49.993,20.09.2024 00:07:19,82.0,7.0
49.995,20.09.2024 00:07:20,80.0,7.0
49.996,20.09.2024 00:07:21,78.5,7.0
49.995,20.09.2024 00:07:22,75.3,7.0
49.995,20.09.2024 00:07:23,73.5,7.0
49.995,20.09.2024 00:07:24,71.7,7.0
49.996,20.09.2024 00:07:25,70.1,7.0
49.997,20.09.2024 00:07:26,70.5,7.0
49.999,20.09.2024 00:07:27,70.2,7.0
49.999,20.09.2024 00:07:28,69.7,7.0
49.999,20.09.2024 00:07:29,69.4,7.0
50.001,20.09.2024 00:07:30,69.7,7.0
50.002,20.09.2024 00:07:31,70.3,7.0
50.002,20.09.2024 00:07:32,70.0,7.0
50.003,20.09.2024 00:07:33,71.9,7.0
50.002,20.09.2024 00:07:34,72.5,7.0
50.001,20.09.2024 00:07:35,72.8,7.0
50.001,20.09.2024 00:07:36,73.2,7.0
50.001,20.09.2024 00:07:37,73.6,7.0
50.001,20.09.2024 00:07:38,73.9,7.0
50.001,20.09.2024 00:07:39,74.0,7.0
50.002,20.09.2024 00:07:40,74.9,7.0
50.003,20.09.2024 00:07:41,76.6,7.0
50.004,20.09.2024 00:07:42,77.9,7.0
50.004,20.09.2024 00:07:43,79.3,7.0
50.003,20.09.2024 00:07:44,80.3,7.0
50.003,20.09.2024 00:07:45,81.2,7.0
50.001,20.09.2024 00:07:46,81.6,7.0
50.0,20.09.2024 00:07:47,81.5,7.0
49.999,20.09.2024 00:07:48,80.0,7.0
50.0,20.09.2024 00:07:49,81.0,7.0
49.999,20.09.2024 00:07:50,80.6,7.0
49.998,20.09.2024 00:07:51,80.0,7.0
49.997,20.09.2024 00:07:52,78.7,7.0
49.996,20.09.2024 00:07:53,77.3,7.0
49.996,20.09.2024 00:07:54,75.6,7.0
49.995,20.09.2024 00:07:55,73.7,7.0
49.993,20.09.2024 00:07:56,71.2,7.0
49.991,20.09.2024 00:07:57,67.9,7.0
