day,start,duration
2,1725295795691,6189
2,1725295801880,5727
2,1725295807607,6003
2,1725295813610,6058
2,1725295819668,6023
2,1725295825691,5992
2,1725295831683,5979
2,1725295837662,6004
2,1725295843666,5940
2,1725295849606,6071
2,1725295855677,6000
2,1725295861677,5986
2,1725295867663,6008
2,1725295873671,5933
2,1725295935689,5985
2,1725295945697,2897
2,1725295948594,0
2,1725296015677,6000
2,1725296084695,5968
2,1725296090663,5950
2,1725296096613,6069
2,1725296180667,5999
2,1725296186666,6001
2,1725296192667,5946
2,1725296213682,5995
2,1725296219677,6000
2,1725296225677,6009
2,1725296245610,6067
2,1725296251677,5930
2,1725296257607,6056
2,1725296276673,5939
2,1725296282612,6066
2,1725296288678,6003
2,1725296310684,5987
2,1725296316671,5991
2,1725296374624,6054
2,1725296380678,5995
2,1725296386673,6004
2,1725296392677,5990
2,1725296398667,5946
2,1725296404613,6061
2,1725296410674,5988
2,1725296416662,6011
2,1725296422673,6000
2,1725296428673,5931
2,1725296434604,6058
2,1725296440662,6015
2,1725296446677,5932
2,1725296452609,6070
2,1725296458679,5998
2,1725296465698,5979
2,1725296471677,5927
2,1725296477604,6074
2,1725296483678,5995
2,1725296497700,5908
2,1725296503608,6066
2,1725296509674,6000
2,1725296515674,6004
2,1725296521678,5995
2,1725296527673,5991
2,1725296533664,6009
2,1725296539673,6010
2,1725296545683,5983
2,1725296551666,6012
2,1725296557678,5927
2,1725296563605,6074
2,1725296569679,5984
2,1725296575663,6015
2,1725296581678,6013
2,1725296587691,5976
2,1725296593667,5935
2,1725296600622,6051
2,1725296606673,5998
2,1725296612671,6002
2,1725296618673,5998
2,1725296624671,5992
2,1725296630663,6008
2,1725296636671,5995
2,1725296642666,5942
2,1725296648608,6069
2,1725296654677,5925
2,1725296660602,6064
2,1725296666666,5941
2,1725296672607,6076
2,1725296678683,5994
2,1725296684677,5997
2,1725296690674,6007
2,1725296696681,5934
2,1725296702615,5986
2,1725296708601,6007
2,1725296714608,6065
2,1725296766679,0
2,1725296768909,0
2,1725297469609,6062
2,1725297839673,0
2,1725302931662,0
2,1725304262678,0
2,1725317299673,0
3,1725347103610,0
3,1725357687662,0
3,1725359952678,0
3,1725365465667,0
3,1725373708663,0
3,1725388721667,0
4,1725445445663,4648
4,1725445450311,2882
4,1725451375606,0
4,1725451958663,0
4,1725469192605,0
4,1725477343698,6033
4,1725482605592,0
4,1725487128700,3327
4,1725487132027,3124
4,1725487135151,3109
4,1725487138260,3079
4,1725487141339,3057
4,1725487144396,3008
4,1725487147404,3122
4,1725487150526,3197
4,1725487153723,3128
4,1725487156851,3130
4,1725487159981,3150
4,1725487163131,3042
4,1725487166173,3086
4,1725487169259,3083
4,1725487172342,3093
4,1725487175435,3110
4,1725487178545,3007
4,1725487181552,3163
4,1725487184715,3118
4,1725487187833,3134
4,1725487190967,3100
4,1725487194067,3223
4,1725487197290,3113
4,1725487200403,3116
4,1725487203519,3114
4,1725487206633,3113
4,1725487209746,3046
4,1725487212792,3126
4,1725487215918,3016
4,1725487218934,3146
4,1725492879527,0
5,1725495100698,0
5,1725496397703,5992
5,1725496960697,0
5,1725498929691,0
5,1725499892687,0
5,1725500142701,0
5,1725502317702,0
5,1725502324625,0
5,1725502327719,0
5,1725502343722,4064
5,1725502347786,6042
5,1725525786710,0
5,1725541612686,0
5,1725541737701,0
5,1725547651697,0
5,1725547814624,0
5,1725551644692,0
5,1725551646628,0
5,1725552026701,3958
5,1725552077702,8227
5,1725554175626,0
5,1725556176691,0
5,1725557102701,0
5,1725559032692,0
5,1725573822686,0
5,1725574455662,0
5,1725574889724,5960
6,1725588952713,5989
6,1725592569633,0
6,1725623335793,5898
6,1725623964705,5880
6,1725624401701,0
6,1725645928625,0
6,1725653091710,5953
6,1725657147636,5953
7,1725698323692,0
7,1725737939701,0
7,1725747353732,6038
7,1725747709696,3004
8,1725774319667,0
8,1725782127603,0
8,1725828512616,6059
9,1725859024674,0
9,1725871711600,6030
9,1725876094687,0
9,1725890442625,0
9,1725896820692,0
9,1725902030703,0
9,1725906843702,0
9,1725906915687,0
9,1725910369692,0
9,1725918245712,0
9,1725919281698,0
10,1725927542630,0
10,1725968182691,0
10,1725976835703,0
10,1725981871627,0
10,1725984587691,6108
10,1725985104694,0
10,1725992344632,6063
10,1725994522692,0
11,1726050252632,5669
11,1726050258301,2877
11,1726057996623,0
11,1726066179699,0
11,1726067964692,0
11,1726071010688,0
11,1726073308691,5953
11,1726080481693,0
12,1726114601687,0
12,1726128680698,0
12,1726130695691,0
12,1726130720703,0
12,1726130723638,0
12,1726130793687,0
12,1726130813689,0
12,1726149078691,0
13,1726208930691,6098
13,1726228148691,5970
13,1726256706707,0
13,1726261591707,0
13,1726271102702,0
14,1726285375626,0
14,1726299393698,0
15,1726362687706,5957
15,1726437427338,131014
15,1726437558352,131137
15,1726437689489,131075
15,1726437820564,131056
15,1726437951620,131068
15,1726438082688,131024
15,1726438213712,131077
15,1726438344789,131139
15,1726438475928,131076
15,1726438607004,130984
15,1726438737988,35325
15,1726438773313,18759
15,1726438792072,662796
15,1726439454868,131003
15,1726439585871,131061
15,1726439716932,131144
15,1726439848076,131080
15,1726439979156,131052
15,1726440110208,131072
15,1726440241280,131092
15,1726440372372,131056
15,1726440503428,34739
15,1726440538167,131169
15,1726440669336,130997
15,1726440800333,131074
15,1726440931407,131078
15,1726441062485,131139
15,1726441193624,131067
15,1726441324691,131077
15,1726441455768,131065
15,1726441586833,131079
15,1726441717912,6892
15,1726441724804,130304
15,1726441855108,131020
15,1726441986128,131065
15,1726442117193,72767
15,1726442189960,130048
15,1726442320008,131064
15,1726442451072,131030
15,1726442582102,131133
15,1726442713235,131069
15,1726442844304,131013
15,1726442975317,131139
15,1726443106456,131052
15,1726443237508,131084
15,1726443368592,131064
15,1726443499656,35580
15,1726443535236,130315
15,1726443665551,131073
15,1726443796624,131076
15,1726443927700,131064
15,1726444058764,131080
15,1726444189844,131072
15,1726444320916,19171
15,1726444340087,130255
15,1726444470342,131134
15,1726444601476,131072
16,1726444732548,131088
16,1726444863636,131056
16,1726444994692,131016
16,1726445125708,131144
16,1726445256852,131056
16,1726445387908,131013
16,1726445518921,131069
16,1726445649990,131134
16,1726445781124,131076
16,1726445912200,3568
16,1726445915768,131600
16,1726446047368,131072
16,1726446178440,131007
16,1726446309447,6318
16,1726446315765,68494
16,1726446384259,130066
16,1726446514325,3422
16,1726446517747,131665
16,1726446649412,131084
16,1726446780496,10552
16,1726446791048,130828
16,1726446921876,130991
16,1726447052867,131142
16,1726447184009,131083
16,1726447315092,131060
16,1726447446152,131080
16,1726447577232,131013
16,1726447708245,131058
16,1726447839303,131157
16,1726447970460,131053
16,1726448101513,131071
16,1726448232584,131072
16,1726448363656,131092
16,1726448494748,131064
16,1726448625812,131007
16,1726448756819,131136
16,1726448887955,131077
16,1726449019032,131068
16,1726449150100,131076
16,1726449281176,131072
16,1726449412248,131072
16,1726449543320,131068
16,1726449674388,131055
16,1726449805443,131093
16,1726449936536,131052
16,1726450067588,131077
16,1726450198665,131073
