frequency,time,phase,d
49.951,16.09.2024 00:01:03,82.6,7.0
49.981,16.09.2024 00:03:14,15.6,7.0
49.99,16.09.2024 00:05:25,51.8,7.0
50.0,16.09.2024 00:07:36,182.2,7.0
50.012,16.09.2024 00:09:47,356.1,7.0
50.022,16.09.2024 00:11:58,16.9,7.0
50.019,16.09.2024 00:14:09,4.3,7.0
49.993,16.09.2024 00:16:20,102.8,7.0
50.017,16.09.2024 00:18:31,28.2,7.0
50.011,16.09.2024 00:18:35,47.4,7.0
50.011,16.09.2024 00:20:46,245.4,7.0
50.012,16.09.2024 00:22:57,224.2,7.0
50.017,16.09.2024 00:25:08,204.7,7.0
50.02,16.09.2024 00:25:15,258.9,7.0
50.021,16.09.2024 00:26:23,27.4,7.0
50.021,16.09.2024 00:28:33,236.9,7.0
50.025,16.09.2024 00:28:37,271.7,7.0
50.01,16.09.2024 00:30:48,288.4,7.0
49.988,16.09.2024 00:32:59,264.7,7.0
49.993,16.09.2024 00:33:10,221.9,7.0
50.012,16.09.2024 00:35:21,223.0,7.0
50.012,16.09.2024 00:37:32,297.1,7.0
50.017,16.09.2024 00:39:43,280.2,7.0
50.003,16.09.2024 00:41:54,115.5,7.0
50.015,16.09.2024 00:44:05,58.6,7.0
49.996,16.09.2024 00:46:16,282.2,7.0
50.001,16.09.2024 00:48:27,72.7,7.0
50.003,16.09.2024 00:50:38,19.7,7.0
50.019,16.09.2024 00:52:49,70.7,7.0
50.02,16.09.2024 00:55:00,88.5,7.0
50.021,16.09.2024 00:57:11,345.0,7.0
50.009,16.09.2024 00:59:23,165.0,7.0
49.962,16.09.2024 01:01:34,238.8,7.0
49.958,16.09.2024 01:03:45,51.8,7.0
49.97,16.09.2024 01:05:56,332.6,7.0
49.979,16.09.2024 01:08:07,161.8,7.0
50.018,16.09.2024 01:10:18,281.0,7.0
50.029,16.09.2024 01:12:29,338.2,7.0
50.024,16.09.2024 01:14:40,75.6,7.0
50.004,16.09.2024 01:16:51,102.1,7.0
49.995,16.09.2024 01:19:02,320.6,7.0
49.995,16.09.2024 01:21:13,358.1,7.0
50.009,16.09.2024 01:23:24,221.1,7.0
50.021,16.09.2024 01:25:35,34.0,7.0
50.011,16.09.2024 01:27:46,53.9,7.0
50.003,16.09.2024 01:29:58,167.8,7.0
50.021,16.09.2024 01:32:09,98.5,7.0
50.01,16.09.2024 01:34:20,207.2,7.0
50.013,16.09.2024 01:36:31,180.2,7.0
50.01,16.09.2024 01:38:42,184.5,7.0
49.989,16.09.2024 01:40:53,240.4,7.0
50.006,16.09.2024 01:43:04,133.9,7.0
50.01,16.09.2024 01:43:23,182.7,7.0
50.0,16.09.2024 01:45:33,287.2,7.0
49.987,16.09.2024 01:47:45,260.8,7.0
49.99,16.09.2024 01:49:56,342.6,7.0
50.023,16.09.2024 01:52:07,204.9,7.0
50.015,16.09.2024 01:54:18,209.0,7.0
50.004,16.09.2024 01:56:29,71.7,7.0
50.005,16.09.2024 01:58:40,150.3,7.0
50.038,16.09.2024 02:00:51,225.4,7.0
50.0,16.09.2024 02:03:02,174.4,7.0
50.008,16.09.2024 02:05:13,279.4,7.0
49.997,16.09.2024 02:07:24,20.7,7.0
50.001,16.09.2024 02:09:35,93.4,7.0
50.001,16.09.2024 02:11:46,105.2,7.0
50.014,16.09.2024 02:13:57,351.8,7.0
49.993,16.09.2024 02:16:08,135.6,7.0
50.023,16.09.2024 02:18:20,265.4,7.0
50.001,16.09.2024 02:20:31,264.7,7.0
50.018,16.09.2024 02:22:42,259.4,7.0
49.99,16.09.2024 02:24:53,267.6,7.0
50.009,16.09.2024 02:27:04,316.3,7.0
50.012,16.09.2024 02:29:15,264.7,7.0
50.017,16.09.2024 02:31:26,40.3,7.0
50.012,16.09.2024 02:33:37,246.9,7.0
50.016,16.09.2024 02:35:48,161.5,7.0
50.012,16.09.2024 02:37:59,219.1,7.0
49.998,16.09.2024 02:40:10,273.5,7.0
49.996,16.09.2024 02:40:21,251.8,7.0
49.985,16.09.2024 02:42:32,159.1,7.0
49.986,16.09.2024 02:44:43,193.0,7.0
50.006,16.09.2024 02:46:54,262.1,7.0
49.982,16.09.2024 02:49:05,337.2,7.0
49.986,16.09.2024 02:51:16,209.9,7.0
49.997,16.09.2024 02:53:27,264.5,7.0
50.004,16.09.2024 02:55:38,234.0,7.0
50.03,16.09.2024 02:57:49,147.5,7.0
50.059,16.09.2024 03:00:00,63.6,7.0
50.032,16.09.2024 03:02:11,287.7,7.0
50.02,16.09.2024 03:04:22,308.3,7.0
50.014,16.09.2024 03:06:33,311.1,7.0
50.008,16.09.2024 03:08:44,95.9,7.0
50.025,16.09.2024 03:10:56,187.2,7.0
50.021,16.09.2024 03:13:07,168.6,7.0
50.019,16.09.2024 03:15:18,162.6,7.0
50.006,16.09.2024 03:17:29,256.5,7.0
50.001,16.09.2024 03:19:40,38.1,7.0
50.001,16.09.2024 03:21:51,343.9,7.0
50.006,16.09.2024 03:24:02,328.1,7.0
50.001,16.09.2024 03:26:13,127.0,7.0
50.004,16.09.2024 03:28:24,320.0,7.0
49.996,16.09.2024 03:30:35,17.5,7.0
49.987,16.09.2024 03:32:46,241.9,7.0
49.983,16.09.2024 03:34:57,102.2,7.0
49.995,16.09.2024 03:37:08,6.2,7.0
49.983,16.09.2024 03:39:19,22.6,7.0
49.983,16.09.2024 03:41:31,226.3,7.0
49.976,16.09.2024 03:43:42,255.7,7.0
49.996,16.09.2024 03:45:53,29.6,7.0
50.015,16.09.2024 03:48:04,336.0,7.0
50.001,16.09.2024 03:50:15,84.6,7.0
49.97,16.09.2024 03:52:26,76.1,7.0
49.997,16.09.2024 03:54:37,89.1,7.0
49.996,16.09.2024 03:56:48,124.9,7.0
50.027,16.09.2024 03:58:59,321.3,7.0
50.067,16.09.2024 04:01:10,150.5,7.0
50.036,16.09.2024 04:03:21,243.7,7.0
50.015,16.09.2024 04:05:32,236.2,7.0
50.008,16.09.2024 04:05:37,257.2,7.0
49.964,16.09.2024 04:07:48,164.7,7.0
49.959,16.09.2024 04:09:59,323.0,7.0
49.977,16.09.2024 04:12:10,65.3,7.0
50.008,16.09.2024 04:14:21,215.8,7.0
50.015,16.09.2024 04:14:25,234.3,7.0
50.044,16.09.2024 04:16:36,299.4,7.0
50.018,16.09.2024 04:18:47,351.8,7.0
49.98,16.09.2024 04:20:58,79.9,7.0
49.98,16.09.2024 04:23:09,328.0,7.0
49.965,16.09.2024 04:25:20,332.7,7.0
49.968,16.09.2024 04:27:31,26.4,7.0
49.997,16.09.2024 04:29:42,332.2,7.0
50.009,16.09.2024 04:31:53,357.4,7.0
49.992,16.09.2024 04:34:04,198.2,7.0
49.977,16.09.2024 04:36:16,308.2,7.0
49.965,16.09.2024 04:38:27,190.7,7.0
49.961,16.09.2024 04:38:38,31.1,7.0
49.968,16.09.2024 04:40:48,147.4,7.0
49.971,16.09.2024 04:42:59,165.3,7.0
49.955,16.09.2024 04:45:10,203.1,7.0
49.965,16.09.2024 04:47:21,193.7,7.0
49.956,16.09.2024 04:49:32,41.3,7.0
49.972,16.09.2024 04:51:43,335.8,7.0
49.98,16.09.2024 04:53:54,335.6,7.0
49.95,16.09.2024 04:56:05,152.0,7.0
49.983,16.09.2024 04:58:16,24.9,7.0
50.017,16.09.2024 04:59:25,345.9,7.0
50.031,16.09.2024 05:01:35,298.4,7.0
50.033,16.09.2024 05:03:46,146.9,7.0
49.988,16.09.2024 05:05:57,303.3,7.0
49.992,16.09.2024 05:08:08,54.7,7.0
49.984,16.09.2024 05:10:19,350.8,7.0
49.988,16.09.2024 05:12:31,273.4,7.0
49.997,16.09.2024 05:12:38,259.8,7.0
49.983,16.09.2024 05:14:50,88.8,7.0
49.996,16.09.2024 05:17:01,111.2,7.0
49.988,16.09.2024 05:19:12,0.3,7.0
49.984,16.09.2024 05:21:23,10.6,7.0
49.983,16.09.2024 05:23:34,251.1,7.0
49.994,16.09.2024 05:25:45,276.3,7.0
49.996,16.09.2024 05:27:56,7.7,7.0
49.987,16.09.2024 05:30:07,58.9,7.0
49.961,16.09.2024 05:32:18,127.3,7.0
49.976,16.09.2024 05:34:29,131.5,7.0
49.993,16.09.2024 05:36:40,47.3,7.0
49.994,16.09.2024 05:38:52,214.0,7.0
50.023,16.09.2024 05:41:03,80.4,7.0
50.026,16.09.2024 05:43:14,320.3,7.0
49.996,16.09.2024 05:45:25,131.8,7.0
50.006,16.09.2024 05:47:36,109.7,7.0
50.011,16.09.2024 05:49:47,42.6,7.0
50.017,16.09.2024 05:51:58,272.2,7.0
50.017,16.09.2024 05:54:09,273.9,7.0
49.988,16.09.2024 05:56:20,300.8,7.0
49.994,16.09.2024 05:58:31,297.4,7.0
49.979,16.09.2024 06:00:42,73.5,7.0
49.986,16.09.2024 06:02:53,280.4,7.0
50.003,16.09.2024 06:05:04,87.8,7.0
49.985,16.09.2024 06:07:16,112.3,7.0
50.005,16.09.2024 06:09:27,52.2,7.0
49.991,16.09.2024 06:11:38,231.5,7.0
50.016,16.09.2024 06:13:49,59.1,7.0
49.989,16.09.2024 06:16:00,63.9,7.0
50.007,16.09.2024 06:18:11,268.7,7.0
50.001,16.09.2024 06:20:22,30.9,7.0
50.012,16.09.2024 06:22:33,6.6,7.0
50.03,16.09.2024 06:24:44,55.1,7.0
50.034,16.09.2024 06:26:55,347.5,7.0
50.038,16.09.2024 06:29:06,345.4,7.0
49.99,16.09.2024 06:31:17,100.7,7.0
49.996,16.09.2024 06:33:28,46.8,7.0
50.019,16.09.2024 06:35:39,131.9,7.0
50.026,16.09.2024 06:37:51,191.8,7.0
50.023,16.09.2024 06:40:02,169.0,7.0
50.023,16.09.2024 06:42:13,90.6,7.0
50.04,16.09.2024 06:44:24,355.5,7.0
50.001,16.09.2024 06:46:35,225.3,7.0
49.993,16.09.2024 06:48:46,318.3,7.0
50.011,16.09.2024 06:50:57,348.5,7.0
50.016,16.09.2024 06:53:08,14.6,7.0
50.011,16.09.2024 06:55:19,186.7,7.0
49.99,16.09.2024 06:57:30,24.5,7.0
50.004,16.09.2024 06:59:41,183.4,7.0
49.965,16.09.2024 07:01:52,304.4,7.0
49.972,16.09.2024 07:04:03,318.2,7.0
50.024,16.09.2024 07:06:14,60.7,7.0
50.03,16.09.2024 07:08:26,318.8,7.0
50.048,16.09.2024 07:10:37,1.0,7.0
50.034,16.09.2024 07:12:48,29.3,7.0
50.0,16.09.2024 07:14:59,314.9,7.0
49.975,16.09.2024 07:17:10,240.1,7.0
49.975,16.09.2024 07:19:21,102.2,7.0
49.98,16.09.2024 07:21:32,145.4,7.0
50.023,16.09.2024 07:23:43,178.7,7.0
50.007,16.09.2024 07:24:52,276.1,7.0
50.017,16.09.2024 07:27:04,148.8,7.0
50.033,16.09.2024 07:29:15,66.0,7.0
49.952,16.09.2024 07:31:26,312.3,7.0
49.968,16.09.2024 07:33:37,320.7,7.0
49.979,16.09.2024 07:35:48,162.6,7.0
50.017,16.09.2024 07:37:59,192.4,7.0
50.032,16.09.2024 07:40:10,325.8,7.0
50.044,16.09.2024 07:42:21,302.3,7.0
50.043,16.09.2024 07:44:32,103.2,7.0
50.014,16.09.2024 07:46:43,35.8,7.0
50.01,16.09.2024 07:48:54,233.6,7.0
49.99,16.09.2024 07:51:06,8.6,7.0
50.021,16.09.2024 07:53:17,266.1,7.0
50.006,16.09.2024 07:55:28,114.0,7.0
50.006,16.09.2024 07:57:39,10.2,7.0
49.967,16.09.2024 07:59:50,295.6,7.0
49.974,16.09.2024 08:02:01,164.4,7.0
49.969,16.09.2024 08:04:12,339.8,7.0
49.994,16.09.2024 08:06:23,283.7,7.0
50.031,16.09.2024 08:08:34,315.0,7.0
49.99,16.09.2024 08:10:45,118.3,7.0
49.995,16.09.2024 08:11:54,222.5,7.0
50.026,16.09.2024 08:14:04,33.6,7.0
49.991,16.09.2024 08:16:15,302.8,7.0
50.017,16.09.2024 08:18:26,288.3,7.0
50.024,16.09.2024 08:20:37,41.3,7.0
50.046,16.09.2024 08:22:48,153.6,7.0
50.044,16.09.2024 08:24:59,237.6,7.0
50.056,16.09.2024 08:27:10,301.8,7.0
50.034,16.09.2024 08:29:21,54.8,7.0
50.035,16.09.2024 08:31:32,311.2,7.0
49.989,16.09.2024 08:33:43,256.5,7.0
50.015,16.09.2024 08:35:55,117.3,7.0
50.033,16.09.2024 08:38:06,358.3,7.0
50.041,16.09.2024 08:40:17,39.5,7.0
50.024,16.09.2024 08:42:28,171.0,7.0
50.042,16.09.2024 08:44:39,288.8,7.0
50.0,16.09.2024 08:46:50,273.8,7.0
50.004,16.09.2024 08:49:01,109.6,7.0
50.01,16.09.2024 08:51:12,306.7,7.0
50.026,16.09.2024 08:53:23,302.9,7.0
50.021,16.09.2024 08:55:34,45.4,7.0
50.008,16.09.2024 08:57:45,325.8,7.0
50.004,16.09.2024 08:59:56,134.9,7.0
49.996,16.09.2024 09:02:07,229.5,7.0
49.969,16.09.2024 09:04:18,185.4,7.0
49.974,16.09.2024 09:06:30,288.3,7.0
49.991,16.09.2024 09:08:41,81.1,7.0
50.016,16.09.2024 09:10:52,206.3,7.0
50.015,16.09.2024 09:13:03,295.6,7.0
49.997,16.09.2024 09:15:14,33.8,7.0
49.989,16.09.2024 09:17:25,327.5,7.0
49.998,16.09.2024 09:19:36,358.6,7.0
50.009,16.09.2024 09:21:47,185.3,7.0
49.998,16.09.2024 09:23:58,254.9,7.0
50.008,16.09.2024 09:26:09,54.9,7.0
50.008,16.09.2024 09:26:14,69.9,7.0
50.001,16.09.2024 09:28:24,300.0,7.0
50.0,16.09.2024 09:30:35,21.5,7.0
49.985,16.09.2024 09:32:47,174.6,7.0
50.01,16.09.2024 09:34:58,120.6,7.0
50.024,16.09.2024 09:37:09,154.2,7.0
50.019,16.09.2024 09:39:20,128.9,7.0
49.997,16.09.2024 09:41:31,322.8,7.0
50.006,16.09.2024 09:43:42,35.0,7.0
49.995,16.09.2024 09:45:53,165.9,7.0
50.011,16.09.2024 09:48:04,90.7,7.0
49.99,16.09.2024 09:50:15,315.9,7.0
50.007,16.09.2024 09:52:26,259.8,7.0
50.027,16.09.2024 09:54:37,310.1,7.0
50.012,16.09.2024 09:56:48,292.9,7.0
50.041,16.09.2024 09:58:59,142.5,7.0
49.992,16.09.2024 10:01:10,163.8,7.0
49.996,16.09.2024 10:03:22,15.1,7.0
50.002,16.09.2024 10:05:33,75.2,7.0
49.987,16.09.2024 10:07:44,124.3,7.0
49.99,16.09.2024 10:09:55,191.9,7.0
50.008,16.09.2024 10:12:06,107.9,7.0
50.004,16.09.2024 10:12:25,154.7,7.0
50.011,16.09.2024 10:14:35,63.6,7.0
49.988,16.09.2024 10:16:46,9.0,7.0
49.977,16.09.2024 10:18:57,8.2,7.0
50.014,16.09.2024 10:21:09,262.8,7.0
50.019,16.09.2024 10:23:20,329.9,7.0
50.04,16.09.2024 10:25:31,195.2,7.0
50.013,16.09.2024 10:27:42,25.1,7.0
50.024,16.09.2024 10:29:53,280.8,7.0
49.979,16.09.2024 10:32:04,25.9,7.0
49.99,16.09.2024 10:34:15,134.5,7.0
50.002,16.09.2024 10:36:26,185.8,7.0
49.99,16.09.2024 10:38:37,250.7,7.0
49.997,16.09.2024 10:40:48,62.3,7.0
50.024,16.09.2024 10:42:59,54.6,7.0
50.003,16.09.2024 10:45:10,267.1,7.0
50.006,16.09.2024 10:47:21,76.2,7.0
50.0,16.09.2024 10:49:32,310.5,7.0
50.015,16.09.2024 10:51:44,224.6,7.0
50.028,16.09.2024 10:53:55,6.5,7.0
50.015,16.09.2024 10:56:06,1.5,7.0
50.038,16.09.2024 10:58:17,225.2,7.0
50.03,16.09.2024 11:00:28,190.9,7.0
50.032,16.09.2024 11:02:39,99.0,7.0
50.001,16.09.2024 11:04:50,64.8,7.0
50.021,16.09.2024 11:07:01,133.5,7.0
50.014,16.09.2024 11:07:20,228.8,7.0
50.024,16.09.2024 11:09:31,313.9,7.0
50.039,16.09.2024 11:11:42,180.5,7.0
50.039,16.09.2024 11:13:53,104.7,7.0
50.019,16.09.2024 11:16:04,63.1,7.0
50.039,16.09.2024 11:18:15,19.2,7.0
50.022,16.09.2024 11:20:26,128.2,7.0
50.022,16.09.2024 11:20:30,160.0,7.0
50.05,16.09.2024 11:22:41,258.4,7.0
50.043,16.09.2024 11:24:52,77.8,7.0
50.03,16.09.2024 11:27:03,345.2,7.0
50.045,16.09.2024 11:29:14,209.1,7.0
50.028,16.09.2024 11:31:25,287.3,7.0
50.046,16.09.2024 11:33:36,346.0,7.0
50.023,16.09.2024 11:35:47,54.2,7.0
50.043,16.09.2024 11:37:59,59.6,7.0
50.017,16.09.2024 11:40:10,4.9,7.0
50.027,16.09.2024 11:42:21,47.8,7.0
50.007,16.09.2024 11:44:32,96.2,7.0
50.019,16.09.2024 11:46:43,285.3,7.0
50.022,16.09.2024 11:48:54,179.8,7.0
