frequency,time,phase,d
49.975,15.09.2024 00:00:00,17.7,7.0
49.972,15.09.2024 00:00:01,7.7,7.0
49.969,15.09.2024 00:00:02,356.5,7.0
49.966,15.09.2024 00:00:03,342.7,7.0
49.963,15.09.2024 00:00:04,330.8,7.0
49.958,15.09.2024 00:00:05,316.0,7.0
49.954,15.09.2024 00:00:06,299.1,7.0
49.95,15.09.2024 00:00:07,280.9,7.0
49.945,15.09.2024 00:00:08,259.3,7.0
49.939,15.09.2024 00:00:09,237.3,7.0
49.937,15.09.2024 00:00:10,215.3,7.0
49.937,15.09.2024 00:00:11,190.7,7.0
49.929,15.09.2024 00:00:12,164.7,7.0
49.927,15.09.2024 00:00:13,137.3,7.0
49.925,15.09.2024 00:00:14,110.3,7.0
49.924,15.09.2024 00:00:15,82.6,7.0
49.923,15.09.2024 00:00:16,54.9,7.0
49.924,15.09.2024 00:00:17,29.0,7.0
49.925,15.09.2024 00:00:18,0.7,7.0
49.924,15.09.2024 00:00:19,333.3,7.0
49.923,15.09.2024 00:00:20,305.4,7.0
49.922,15.09.2024 00:00:21,277.2,7.0
49.921,15.09.2024 00:00:22,250.3,7.0
49.92,15.09.2024 00:00:23,221.4,7.0
49.92,15.09.2024 00:00:24,192.4,7.0
49.92,15.09.2024 00:00:25,163.5,7.0
49.921,15.09.2024 00:00:26,135.0,7.0
49.925,15.09.2024 00:00:27,107.7,7.0
49.925,15.09.2024 00:00:28,80.9,7.0
49.925,15.09.2024 00:00:29,54.3,7.0
49.925,15.09.2024 00:00:30,27.3,7.0
49.927,15.09.2024 00:00:31,1.7,7.0
49.931,15.09.2024 00:00:32,337.0,7.0
49.932,15.09.2024 00:00:33,312.3,7.0
49.932,15.09.2024 00:00:34,287.9,7.0
49.931,15.09.2024 00:00:35,263.1,7.0
49.93,15.09.2024 00:00:36,237.5,7.0
49.929,15.09.2024 00:00:37,212.0,7.0
49.928,15.09.2024 00:00:38,185.8,7.0
49.926,15.09.2024 00:00:39,159.3,7.0
49.925,15.09.2024 00:00:40,132.4,7.0
49.926,15.09.2024 00:00:41,105.6,7.0
49.928,15.09.2024 00:00:42,79.5,7.0
49.927,15.09.2024 00:00:43,53.7,7.0
49.925,15.09.2024 00:00:44,25.5,7.0
49.925,15.09.2024 00:00:45,358.4,7.0
49.928,15.09.2024 00:00:46,333.8,7.0
49.93,15.09.2024 00:00:47,308.5,7.0
49.932,15.09.2024 00:00:48,283.8,7.0
49.933,15.09.2024 00:00:49,259.7,7.0
49.934,15.09.2024 00:00:50,235.7,7.0
49.936,15.09.2024 00:00:51,212.5,7.0
49.938,15.09.2024 00:00:52,190.0,7.0
49.939,15.09.2024 00:00:53,167.9,7.0
49.939,15.09.2024 00:00:54,145.9,7.0
49.94,15.09.2024 00:00:55,124.2,7.0
49.941,15.09.2024 00:00:56,102.7,7.0
49.941,15.09.2024 00:00:57,81.5,7.0
49.94,15.09.2024 00:00:58,60.2,7.0
49.939,15.09.2024 00:00:59,38.1,7.0
49.939,15.09.2024 00:01:00,15.9,7.0
49.936,15.09.2024 00:01:01,353.1,7.0
49.936,15.09.2024 00:01:02,328.7,7.0
49.935,15.09.2024 00:01:03,305.1,7.0
49.933,15.09.2024 00:01:04,282.8,7.0
49.932,15.09.2024 00:01:05,258.1,7.0
49.932,15.09.2024 00:01:06,233.8,7.0
49.934,15.09.2024 00:01:07,209.9,7.0
49.936,15.09.2024 00:01:08,185.3,7.0
49.937,15.09.2024 00:01:09,164.0,7.0
49.94,15.09.2024 00:01:10,142.1,7.0
49.941,15.09.2024 00:01:11,120.7,7.0
49.942,15.09.2024 00:01:12,98.9,7.0
49.942,15.09.2024 00:01:13,78.8,7.0
49.945,15.09.2024 00:01:14,59.2,7.0
49.947,15.09.2024 00:01:15,40.1,7.0
49.95,15.09.2024 00:01:16,22.1,7.0
49.953,15.09.2024 00:01:17,5.2,7.0
49.953,15.09.2024 00:01:18,348.2,7.0
49.952,15.09.2024 00:01:19,330.9,7.0
49.952,15.09.2024 00:01:20,313.7,7.0
49.953,15.09.2024 00:01:21,296.6,7.0
49.954,15.09.2024 00:01:22,279.9,7.0
49.952,15.09.2024 00:01:23,262.6,7.0
49.949,15.09.2024 00:01:24,243.0,7.0
49.949,15.09.2024 00:01:25,226.1,7.0
49.949,15.09.2024 00:01:26,207.1,7.0
49.949,15.09.2024 00:01:27,189.5,7.0
49.948,15.09.2024 00:01:28,170.8,7.0
49.947,15.09.2024 00:01:29,151.5,7.0
49.946,15.09.2024 00:01:30,131.4,7.0
49.946,15.09.2024 00:01:31,112.5,7.0
49.946,15.09.2024 00:01:32,92.9,7.0
49.946,15.09.2024 00:01:33,73.5,7.0
49.947,15.09.2024 00:01:34,54.6,7.0
49.947,15.09.2024 00:01:35,35.5,7.0
49.947,15.09.2024 00:01:36,17.0,7.0
49.945,15.09.2024 00:01:37,357.2,7.0
49.943,15.09.2024 00:01:38,336.7,7.0
49.943,15.09.2024 00:01:39,316.3,7.0
49.946,15.09.2024 00:01:40,295.0,7.0
49.946,15.09.2024 00:01:41,276.0,7.0
49.946,15.09.2024 00:01:42,256.6,7.0
49.946,15.09.2024 00:01:43,238.5,7.0
49.948,15.09.2024 00:01:44,219.6,7.0
49.949,15.09.2024 00:01:45,201.0,7.0
49.946,15.09.2024 00:01:46,180.9,7.0
49.946,15.09.2024 00:01:47,162.0,7.0
49.944,15.09.2024 00:01:48,141.8,7.0
49.944,15.09.2024 00:01:49,121.7,7.0
49.944,15.09.2024 00:01:50,100.5,7.0
49.943,15.09.2024 00:01:51,81.0,7.0
49.942,15.09.2024 00:01:52,60.3,7.0
49.943,15.09.2024 00:01:53,39.9,7.0
49.946,15.09.2024 00:01:54,20.4,7.0
49.948,15.09.2024 00:01:55,1.6,7.0
49.948,15.09.2024 00:01:56,342.9,7.0
49.951,15.09.2024 00:01:57,325.1,7.0
49.953,15.09.2024 00:01:58,307.9,7.0
49.954,15.09.2024 00:01:59,291.2,7.0
49.952,15.09.2024 00:02:00,273.7,7.0
49.951,15.09.2024 00:02:01,255.9,7.0
49.948,15.09.2024 00:02:02,237.3,7.0
49.946,15.09.2024 00:02:03,216.6,7.0
49.945,15.09.2024 00:02:04,196.6,7.0
49.944,15.09.2024 00:02:05,177.6,7.0
49.945,15.09.2024 00:02:06,157.8,7.0
49.944,15.09.2024 00:02:07,137.6,7.0
49.946,15.09.2024 00:02:08,117.3,7.0
49.946,15.09.2024 00:02:09,99.0,7.0
49.947,15.09.2024 00:02:10,79.8,7.0
49.948,15.09.2024 00:02:11,61.2,7.0
49.949,15.09.2024 00:02:12,42.8,7.0
49.95,15.09.2024 00:02:13,23.5,7.0
49.952,15.09.2024 00:02:14,7.3,7.0
49.952,15.09.2024 00:02:15,350.1,7.0
49.953,15.09.2024 00:02:16,331.7,7.0
49.953,15.09.2024 00:02:17,315.9,7.0
49.952,15.09.2024 00:02:18,298.6,7.0
49.951,15.09.2024 00:02:19,281.0,7.0
49.953,15.09.2024 00:02:20,264.2,7.0
49.953,15.09.2024 00:02:21,247.4,7.0
49.954,15.09.2024 00:02:22,230.7,7.0
49.956,15.09.2024 00:02:23,215.1,7.0
49.958,15.09.2024 00:02:24,200.0,7.0
