frequency,time,phase,d
50.012,22.08.2024 00:27:04,269.7,7.0
50.012,22.08.2024 00:27:05,273.0,7.0
50.012,22.08.2024 00:27:06,278.4,7.0
50.009,22.08.2024 00:27:07,281.7,7.0
50.005,22.08.2024 00:27:08,282.2,7.0
50.003,22.08.2024 00:27:09,284.5,7.0
50.002,22.08.2024 00:27:10,285.1,7.0
50.0,22.08.2024 00:27:11,285.1,7.0
49.998,22.08.2024 00:27:12,284.2,7.0
49.996,22.08.2024 00:27:13,282.5,7.0
49.995,22.08.2024 00:27:14,280.8,7.0
49.995,22.08.2024 00:27:15,279.2,7.0
49.995,22.08.2024 00:27:16,275.6,7.0
49.994,22.08.2024 00:27:17,273.4,7.0
49.994,22.08.2024 00:27:18,272.5,7.0
49.996,22.08.2024 00:27:19,271.0,7.0
49.997,22.08.2024 00:27:20,268.5,7.0
49.998,22.08.2024 00:27:21,267.7,7.0
49.999,22.08.2024 00:27:22,267.1,7.0
49.998,22.08.2024 00:27:23,266.3,7.0
49.997,22.08.2024 00:27:24,265.2,7.0
49.997,22.08.2024 00:27:25,264.0,7.0
49.997,22.08.2024 00:27:26,264.5,7.0
49.997,22.08.2024 00:27:27,261.6,7.0
49.997,22.08.2024 00:27:28,260.5,7.0
49.998,22.08.2024 00:27:29,259.8,7.0
50.0,22.08.2024 00:27:30,261.4,7.0
50.001,22.08.2024 00:27:31,261.7,7.0
50.001,22.08.2024 00:27:32,261.8,7.0
50.001,22.08.2024 00:27:33,260.3,7.0
50.002,22.08.2024 00:27:34,262.7,7.0
50.005,22.08.2024 00:27:35,264.6,7.0
50.007,22.08.2024 00:27:36,265.2,7.0
50.008,22.08.2024 00:27:37,269.7,7.0
50.008,22.08.2024 00:27:38,271.4,7.0
50.009,22.08.2024 00:27:39,276.0,7.0
50.01,22.08.2024 00:27:40,279.8,7.0
50.011,22.08.2024 00:27:41,283.5,7.0
50.012,22.08.2024 00:27:42,286.6,7.0
50.015,22.08.2024 00:27:43,291.7,7.0
50.016,22.08.2024 00:27:44,298.8,7.0
50.017,22.08.2024 00:27:45,303.5,7.0
50.017,22.08.2024 00:27:46,310.6,7.0
50.016,22.08.2024 00:27:47,316.4,7.0
50.015,22.08.2024 00:27:48,321.9,7.0
50.014,22.08.2024 00:27:49,327.0,7.0
50.013,22.08.2024 00:27:50,330.1,7.0
50.011,22.08.2024 00:27:51,335.5,7.0
50.009,22.08.2024 00:27:52,337.3,7.0
50.008,22.08.2024 00:27:53,340.2,7.0
50.009,22.08.2024 00:27:54,344.9,7.0
50.007,22.08.2024 00:27:55,345.9,7.0
50.006,22.08.2024 00:27:56,349.6,7.0
50.006,22.08.2024 00:27:57,352.0,7.0
50.007,22.08.2024 00:27:58,353.1,7.0
50.009,22.08.2024 00:27:59,357.7,7.0
50.01,22.08.2024 00:28:00,359.8,7.0
50.011,22.08.2024 00:28:01,3.7,7.0
50.012,22.08.2024 00:28:02,8.1,7.0
50.013,22.08.2024 00:28:03,12.8,7.0
50.013,22.08.2024 00:28:04,19.2,7.0
