frequency,time,phase,d
49.98,31.08.2024 00:00:00,127.3,7.0
49.978,31.08.2024 00:00:01,119.5,7.0
49.978,31.08.2024 00:00:02,111.6,7.0
49.977,31.08.2024 00:00:03,103.3,7.0
49.974,31.08.2024 00:00:04,93.7,7.0
49.97,31.08.2024 00:00:05,82.8,7.0
49.968,31.08.2024 00:00:06,71.1,7.0
49.967,31.08.2024 00:00:07,59.1,7.0
49.967,31.08.2024 00:00:08,46.1,7.0
49.965,31.08.2024 00:00:09,31.7,7.0
49.961,31.08.2024 00:00:10,16.9,7.0
49.959,31.08.2024 00:00:11,1.0,7.0
49.956,31.08.2024 00:00:12,343.8,7.0
49.956,31.08.2024 00:00:13,325.5,7.0
49.953,31.08.2024 00:00:14,307.1,7.0
49.951,31.08.2024 00:00:15,288.1,7.0
49.946,31.08.2024 00:00:16,268.1,7.0
49.944,31.08.2024 00:00:17,248.2,7.0
49.944,31.08.2024 00:00:18,228.1,7.0
49.944,31.08.2024 00:00:19,207.9,7.0
49.944,31.08.2024 00:00:20,187.4,7.0
49.946,31.08.2024 00:00:21,168.0,7.0
49.948,31.08.2024 00:00:22,149.1,7.0
49.949,31.08.2024 00:00:23,130.8,7.0
49.948,31.08.2024 00:00:24,111.8,7.0
49.947,31.08.2024 00:00:25,92.6,7.0
49.946,31.08.2024 00:00:26,73.0,7.0
49.944,31.08.2024 00:00:27,52.6,7.0
49.944,31.08.2024 00:00:28,32.3,7.0
49.943,31.08.2024 00:00:29,12.6,7.0
49.941,31.08.2024 00:00:30,351.5,7.0
49.94,31.08.2024 00:00:31,329.9,7.0
49.94,31.08.2024 00:00:32,308.3,7.0
49.941,31.08.2024 00:00:33,287.1,7.0
49.941,31.08.2024 00:00:34,265.6,7.0
49.941,31.08.2024 00:00:35,244.4,7.0
49.94,31.08.2024 00:00:36,222.9,7.0
49.941,31.08.2024 00:00:37,201.6,7.0
49.941,31.08.2024 00:00:38,180.2,7.0
49.941,31.08.2024 00:00:39,158.8,7.0
49.939,31.08.2024 00:00:40,137.1,7.0
49.939,31.08.2024 00:00:41,115.2,7.0
49.94,31.08.2024 00:00:42,93.2,7.0
49.94,31.08.2024 00:00:43,71.7,7.0
49.94,31.08.2024 00:00:44,50.7,7.0
49.941,31.08.2024 00:00:45,29.4,7.0
49.943,31.08.2024 00:00:46,8.9,7.0
49.944,31.08.2024 00:00:47,348.5,7.0
49.946,31.08.2024 00:00:48,329.2,7.0
49.947,31.08.2024 00:00:49,310.0,7.0
49.947,31.08.2024 00:00:50,290.9,7.0
49.948,31.08.2024 00:00:51,272.2,7.0
49.949,31.08.2024 00:00:52,253.7,7.0
49.948,31.08.2024 00:00:53,234.8,7.0
49.945,31.08.2024 00:00:54,214.9,7.0
49.943,31.08.2024 00:00:55,194.3,7.0
49.941,31.08.2024 00:00:56,172.9,7.0
49.939,31.08.2024 00:00:57,151.1,7.0
49.937,31.08.2024 00:00:58,128.7,7.0
49.936,31.08.2024 00:00:59,105.6,7.0
49.938,31.08.2024 00:01:00,82.8,7.0
49.937,31.08.2024 00:01:01,60.8,7.0
49.936,31.08.2024 00:01:02,37.8,7.0
49.936,31.08.2024 00:01:03,14.6,7.0
49.938,31.08.2024 00:01:04,352.3,7.0
49.941,31.08.2024 00:01:05,330.8,7.0
49.942,31.08.2024 00:01:06,309.9,7.0
49.943,31.08.2024 00:01:07,289.0,7.0
49.944,31.08.2024 00:01:08,268.8,7.0
49.945,31.08.2024 00:01:09,248.8,7.0
49.945,31.08.2024 00:01:10,228.9,7.0
49.944,31.08.2024 00:01:11,208.3,7.0
49.943,31.08.2024 00:01:12,187.8,7.0
49.943,31.08.2024 00:01:13,167.2,7.0
49.945,31.08.2024 00:01:14,147.5,7.0
49.946,31.08.2024 00:01:15,127.8,7.0
49.945,31.08.2024 00:01:16,108.0,7.0
49.944,31.08.2024 00:01:17,87.9,7.0
49.945,31.08.2024 00:01:18,68.2,7.0
49.946,31.08.2024 00:01:19,49.2,7.0
49.947,31.08.2024 00:01:20,30.1,7.0
49.946,31.08.2024 00:01:21,10.8,7.0
49.946,31.08.2024 00:01:22,351.1,7.0
49.944,31.08.2024 00:01:23,331.1,7.0
49.944,31.08.2024 00:01:24,310.9,7.0
49.944,31.08.2024 00:01:25,290.6,7.0
49.943,31.08.2024 00:01:26,270.1,7.0
49.942,31.08.2024 00:01:27,248.9,7.0
49.943,31.08.2024 00:01:28,228.5,7.0
49.946,31.08.2024 00:01:29,209.1,7.0
49.948,31.08.2024 00:01:30,190.2,7.0
49.948,31.08.2024 00:01:31,171.5,7.0
49.95,31.08.2024 00:01:32,153.4,7.0
49.954,31.08.2024 00:01:33,136.9,7.0
49.956,31.08.2024 00:01:34,121.0,7.0
49.954,31.08.2024 00:01:35,104.5,7.0
49.953,31.08.2024 00:01:36,87.6,7.0
49.954,31.08.2024 00:01:37,71.2,7.0
49.956,31.08.2024 00:01:38,55.5,7.0
