frequency,time,phase,d
50.0,27.08.2024 00:00:00,296.9,7.0
49.999,27.08.2024 00:00:01,296.6,7.0
49.999,27.08.2024 00:00:02,296.3,7.0
49.997,27.08.2024 00:00:03,295.2,7.0
49.993,27.08.2024 00:00:04,292.8,7.0
49.99,27.08.2024 00:00:05,289.3,7.0
49.987,27.08.2024 00:00:06,284.7,7.0
49.985,27.08.2024 00:00:07,279.1,7.0
49.981,27.08.2024 00:00:08,272.1,7.0
49.984,27.08.2024 00:00:09,263.8,7.0
49.975,27.08.2024 00:00:10,254.6,7.0
49.973,27.08.2024 00:00:11,244.9,7.0
49.971,27.08.2024 00:00:12,234.6,7.0
49.97,27.08.2024 00:00:13,223.7,7.0
49.969,27.08.2024 00:00:14,212.2,7.0
49.967,27.08.2024 00:00:15,200.5,7.0
49.967,27.08.2024 00:00:16,188.7,7.0
49.967,27.08.2024 00:00:17,176.7,7.0
49.966,27.08.2024 00:00:18,164.5,7.0
49.964,27.08.2024 00:00:19,151.7,7.0
49.961,27.08.2024 00:00:20,137.6,7.0
49.958,27.08.2024 00:00:21,122.5,7.0
49.958,27.08.2024 00:00:22,107.3,7.0
49.957,27.08.2024 00:00:23,91.6,7.0
49.954,27.08.2024 00:00:24,75.1,7.0
49.953,27.08.2024 00:00:25,58.5,7.0
49.953,27.08.2024 00:00:26,41.4,7.0
49.954,27.08.2024 00:00:27,24.8,7.0
49.955,27.08.2024 00:00:28,8.4,7.0
49.954,27.08.2024 00:00:29,351.8,7.0
49.953,27.08.2024 00:00:30,334.9,7.0
49.954,27.08.2024 00:00:31,318.2,7.0
49.956,27.08.2024 00:00:32,302.2,7.0
49.957,27.08.2024 00:00:33,286.9,7.0
49.957,27.08.2024 00:00:34,271.5,7.0
49.957,27.08.2024 00:00:35,256.2,7.0
49.958,27.08.2024 00:00:36,241.2,7.0
49.962,27.08.2024 00:00:37,227.7,7.0
49.965,27.08.2024 00:00:38,214.8,7.0
49.965,27.08.2024 00:00:39,202.3,7.0
49.966,27.08.2024 00:00:40,190.0,7.0
49.967,27.08.2024 00:00:41,178.0,7.0
49.967,27.08.2024 00:00:42,166.2,7.0
49.967,27.08.2024 00:00:43,154.4,7.0
49.966,27.08.2024 00:00:44,142.2,7.0
49.966,27.08.2024 00:00:45,129.9,7.0
49.965,27.08.2024 00:00:46,117.3,7.0
49.964,27.08.2024 00:00:47,104.3,7.0
49.962,27.08.2024 00:00:48,90.7,7.0
