frequency,time,phase,d
50.0,25.08.2024 00:00:00,147.6,7.0
49.994,25.08.2024 00:00:01,145.5,7.0
49.992,25.08.2024 00:00:02,142.6,7.0
49.99,25.08.2024 00:00:03,138.9,7.0
49.986,25.08.2024 00:00:04,133.8,7.0
49.983,25.08.2024 00:00:05,127.4,7.0
49.981,25.08.2024 00:00:06,120.5,7.0
49.98,25.08.2024 00:00:07,113.1,7.0
49.979,25.08.2024 00:00:08,104.5,7.0
49.977,25.08.2024 00:00:09,94.7,7.0
49.971,25.08.2024 00:00:10,83.2,7.0
49.971,25.08.2024 00:00:11,70.7,7.0
49.965,25.08.2024 00:00:12,58.3,7.0
49.964,25.08.2024 00:00:13,45.2,7.0
49.962,25.08.2024 00:00:14,31.3,7.0
49.962,25.08.2024 00:00:15,15.8,7.0
49.957,25.08.2024 00:00:16,0.0,7.0
49.955,25.08.2024 00:00:17,343.7,7.0
49.958,25.08.2024 00:00:18,328.5,7.0
49.957,25.08.2024 00:00:19,312.9,7.0
49.959,25.08.2024 00:00:20,297.9,7.0
49.958,25.08.2024 00:00:21,282.8,7.0
49.957,25.08.2024 00:00:22,267.1,7.0
49.955,25.08.2024 00:00:23,250.9,7.0
49.953,25.08.2024 00:00:24,233.7,7.0
49.95,25.08.2024 00:00:25,215.7,7.0
49.948,25.08.2024 00:00:26,197.1,7.0
49.946,25.08.2024 00:00:27,177.6,7.0
49.945,25.08.2024 00:00:28,157.7,7.0
49.944,25.08.2024 00:00:29,137.3,7.0
49.946,25.08.2024 00:00:30,117.9,7.0
49.948,25.08.2024 00:00:31,99.4,7.0
49.951,25.08.2024 00:00:32,81.7,7.0
49.953,25.08.2024 00:00:33,65.4,7.0
49.956,25.08.2024 00:00:34,49.5,7.0
49.959,25.08.2024 00:00:35,34.6,7.0
49.959,25.08.2024 00:00:36,19.8,7.0
49.959,25.08.2024 00:00:37,4.9,7.0
49.959,25.08.2024 00:00:38,350.0,7.0
49.959,25.08.2024 00:00:39,335.1,7.0
49.955,25.08.2024 00:00:40,318.9,7.0
49.952,25.08.2024 00:00:41,301.5,7.0
49.95,25.08.2024 00:00:42,283.8,7.0
49.949,25.08.2024 00:00:43,265.3,7.0
49.947,25.08.2024 00:00:44,245.9,7.0
49.946,25.08.2024 00:00:45,226.5,7.0
49.951,25.08.2024 00:00:46,208.7,7.0
49.953,25.08.2024 00:00:47,191.8,7.0
49.954,25.08.2024 00:00:48,175.2,7.0
49.955,25.08.2024 00:00:49,158.5,7.0
49.958,25.08.2024 00:00:50,143.6,7.0
49.96,25.08.2024 00:00:51,129.3,7.0
49.96,25.08.2024 00:00:52,114.9,7.0
49.959,25.08.2024 00:00:53,100.2,7.0
49.958,25.08.2024 00:00:54,85.1,7.0
49.959,25.08.2024 00:00:55,70.3,7.0
49.959,25.08.2024 00:00:56,55.8,7.0
49.957,25.08.2024 00:00:57,40.4,7.0
49.955,25.08.2024 00:00:58,24.3,7.0
49.955,25.08.2024 00:00:59,8.4,7.0
49.958,25.08.2024 00:01:00,353.2,7.0
49.958,25.08.2024 00:01:01,338.2,7.0
49.956,25.08.2024 00:01:02,322.4,7.0
49.956,25.08.2024 00:01:03,306.6,7.0
49.959,25.08.2024 00:01:04,292.0,7.0
49.961,25.08.2024 00:01:05,278.0,7.0
49.961,25.08.2024 00:01:06,263.9,7.0
49.961,25.08.2024 00:01:07,250.0,7.0
49.961,25.08.2024 00:01:08,236.0,7.0
49.961,25.08.2024 00:01:09,221.7,7.0
49.96,25.08.2024 00:01:10,207.4,7.0
49.962,25.08.2024 00:01:11,193.6,7.0
49.963,25.08.2024 00:01:12,180.3,7.0
49.964,25.08.2024 00:01:13,167.3,7.0
49.967,25.08.2024 00:01:14,155.5,7.0
49.97,25.08.2024 00:01:15,144.9,7.0
49.972,25.08.2024 00:01:16,134.8,7.0
49.971,25.08.2024 00:01:17,124.4,7.0
49.973,25.08.2024 00:01:18,114.7,7.0
49.974,25.08.2024 00:01:19,105.3,7.0
49.975,25.08.2024 00:01:20,96.2,7.0
49.971,25.08.2024 00:01:21,85.6,7.0
49.966,25.08.2024 00:01:22,73.6,7.0
49.964,25.08.2024 00:01:23,60.9,7.0
49.963,25.08.2024 00:01:24,47.6,7.0
49.963,25.08.2024 00:01:25,34.2,7.0
49.964,25.08.2024 00:01:26,21.2,7.0
49.965,25.08.2024 00:01:27,8.6,7.0
49.968,25.08.2024 00:01:28,357.1,7.0
49.973,25.08.2024 00:01:29,347.2,7.0
49.976,25.08.2024 00:01:30,338.5,7.0
49.976,25.08.2024 00:01:31,330.0,7.0
49.977,25.08.2024 00:01:32,321.6,7.0
49.977,25.08.2024 00:01:33,313.4,7.0
49.977,25.08.2024 00:01:34,305.4,7.0
49.976,25.08.2024 00:01:35,296.7,7.0
49.977,25.08.2024 00:01:36,288.5,7.0
49.978,25.08.2024 00:01:37,280.5,7.0
49.977,25.08.2024 00:01:38,272.1,7.0
49.973,25.08.2024 00:01:39,262.4,7.0
49.974,25.08.2024 00:01:40,252.9,7.0
49.976,25.08.2024 00:01:41,244.0,7.0
49.976,25.08.2024 00:01:42,235.5,7.0
49.975,25.08.2024 00:01:43,226.3,7.0
49.973,25.08.2024 00:01:44,216.3,7.0
49.974,25.08.2024 00:01:45,207.0,7.0
49.977,25.08.2024 00:01:46,198.5,7.0
49.978,25.08.2024 00:01:47,189.5,7.0
49.977,25.08.2024 00:01:48,182.2,7.0
49.979,25.08.2024 00:01:49,174.4,7.0
49.979,25.08.2024 00:01:50,166.9,7.0
49.978,25.08.2024 00:01:51,158.8,7.0
49.976,25.08.2024 00:01:52,150.0,7.0
49.975,25.08.2024 00:01:53,140.9,7.0
49.976,25.08.2024 00:01:54,132.4,7.0
49.975,25.08.2024 00:01:55,123.3,7.0
49.973,25.08.2024 00:01:56,113.6,7.0
49.973,25.08.2024 00:01:57,104.0,7.0
49.974,25.08.2024 00:01:58,94.7,7.0
49.974,25.08.2024 00:01:59,85.2,7.0
49.971,25.08.2024 00:02:00,74.1,7.0
49.97,25.08.2024 00:02:01,63.3,7.0
49.971,25.08.2024 00:02:02,53.9,7.0
49.97,25.08.2024 00:02:03,43.2,7.0
49.969,25.08.2024 00:02:04,32.2,7.0
49.971,25.08.2024 00:02:05,21.7,7.0
49.97,25.08.2024 00:02:06,10.9,7.0
49.969,25.08.2024 00:02:07,359.7,7.0
49.969,25.08.2024 00:02:08,348.4,7.0
49.97,25.08.2024 00:02:09,337.7,7.0
49.971,25.08.2024 00:02:10,327.2,7.0
49.968,25.08.2024 00:02:11,315.7,7.0
49.969,25.08.2024 00:02:12,304.6,7.0
49.969,25.08.2024 00:02:13,293.5,7.0
49.97,25.08.2024 00:02:14,282.8,7.0
49.969,25.08.2024 00:02:15,271.7,7.0
49.97,25.08.2024 00:02:16,260.7,7.0
49.97,25.08.2024 00:02:17,249.6,7.0
49.971,25.08.2024 00:02:18,239.1,7.0
