frequency,time,phase,d
49.989,21.08.2024 00:00:00,171.8,7.0
49.987,21.08.2024 00:00:01,167.1,7.0
49.984,21.08.2024 00:00:02,161.4,7.0
49.983,21.08.2024 00:00:03,155.1,7.0
49.981,21.08.2024 00:00:04,148.1,7.0
49.978,21.08.2024 00:00:05,140.2,7.0
49.973,21.08.2024 00:00:06,129.7,7.0
49.972,21.08.2024 00:00:07,121.8,7.0
49.972,21.08.2024 00:00:08,109.1,7.0
49.975,21.08.2024 00:00:09,100.3,7.0
49.969,21.08.2024 00:00:10,89.0,7.0
49.969,21.08.2024 00:00:11,76.3,7.0
49.969,21.08.2024 00:00:12,65.3,7.0
49.97,21.08.2024 00:00:13,56.6,7.0
49.973,21.08.2024 00:00:14,46.9,7.0
49.974,21.08.2024 00:00:15,38.1,7.0
49.977,21.08.2024 00:00:16,29.8,7.0
49.979,21.08.2024 00:00:17,20.7,7.0
49.978,21.08.2024 00:00:18,14.1,7.0
49.976,21.08.2024 00:00:19,5.4,7.0
49.973,21.08.2024 00:00:20,355.7,7.0
49.974,21.08.2024 00:00:21,344.6,7.0
49.975,21.08.2024 00:00:22,337.3,7.0
49.976,21.08.2024 00:00:23,328.4,7.0
49.975,21.08.2024 00:00:24,319.3,7.0
49.975,21.08.2024 00:00:25,310.1,7.0
49.976,21.08.2024 00:00:26,301.5,7.0
49.976,21.08.2024 00:00:27,292.8,7.0
49.978,21.08.2024 00:00:28,283.8,7.0
49.98,21.08.2024 00:00:29,277.4,7.0
49.982,21.08.2024 00:00:30,269.9,7.0
49.985,21.08.2024 00:00:31,266.1,7.0
49.987,21.08.2024 00:00:32,261.2,7.0
49.987,21.08.2024 00:00:33,256.4,7.0
49.988,21.08.2024 00:00:34,252.0,7.0
49.988,21.08.2024 00:00:35,247.6,7.0
49.989,21.08.2024 00:00:36,242.2,7.0
49.991,21.08.2024 00:00:37,240.7,7.0
49.993,21.08.2024 00:00:38,236.7,7.0
49.995,21.08.2024 00:00:39,236.4,7.0
49.997,21.08.2024 00:00:40,233.9,7.0
49.996,21.08.2024 00:00:41,232.2,7.0
49.996,21.08.2024 00:00:42,230.7,7.0
49.995,21.08.2024 00:00:43,230.1,7.0
49.994,21.08.2024 00:00:44,228.0,7.0
49.993,21.08.2024 00:00:45,225.5,7.0
49.991,21.08.2024 00:00:46,222.0,7.0
49.988,21.08.2024 00:00:47,216.4,7.0
49.985,21.08.2024 00:00:48,211.0,7.0
49.982,21.08.2024 00:00:49,204.8,7.0
49.983,21.08.2024 00:00:50,199.7,7.0
49.983,21.08.2024 00:00:51,193.6,7.0
49.983,21.08.2024 00:00:52,187.3,7.0
49.982,21.08.2024 00:00:53,180.0,7.0
49.98,21.08.2024 00:00:54,172.9,7.0
49.98,21.08.2024 00:00:55,165.7,7.0
49.979,21.08.2024 00:00:56,159.7,7.0
49.979,21.08.2024 00:00:57,152.4,7.0
49.979,21.08.2024 00:00:58,143.1,7.0
49.979,21.08.2024 00:00:59,136.8,7.0
49.978,21.08.2024 00:01:00,128.9,7.0
49.976,21.08.2024 00:01:01,120.3,7.0
49.973,21.08.2024 00:01:02,109.0,7.0
49.972,21.08.2024 00:01:03,98.8,7.0
49.972,21.08.2024 00:01:04,90.3,7.0
49.974,21.08.2024 00:01:05,79.5,7.0
49.976,21.08.2024 00:01:06,70.8,7.0
49.975,21.08.2024 00:01:07,63.3,7.0
49.977,21.08.2024 00:01:08,55.0,7.0
49.979,21.08.2024 00:01:09,47.6,7.0
49.982,21.08.2024 00:01:10,41.2,7.0
49.983,21.08.2024 00:01:11,34.9,7.0
49.984,21.08.2024 00:01:12,27.8,7.0
49.985,21.08.2024 00:01:13,23.9,7.0
49.984,21.08.2024 00:01:14,18.0,7.0
49.983,21.08.2024 00:01:15,10.5,7.0
49.982,21.08.2024 00:01:16,4.2,7.0
49.982,21.08.2024 00:01:17,358.8,7.0
49.981,21.08.2024 00:01:18,351.2,7.0
49.984,21.08.2024 00:01:19,346.8,7.0
49.986,21.08.2024 00:01:20,341.9,7.0
49.987,21.08.2024 00:01:21,337.0,7.0
49.987,21.08.2024 00:01:22,332.2,7.0
49.988,21.08.2024 00:01:23,328.0,7.0
49.989,21.08.2024 00:01:24,323.8,7.0
49.99,21.08.2024 00:01:25,320.1,7.0
49.99,21.08.2024 00:01:26,316.3,7.0
49.99,21.08.2024 00:01:27,311.5,7.0
49.991,21.08.2024 00:01:28,309.4,7.0
49.99,21.08.2024 00:01:29,305.6,7.0
49.988,21.08.2024 00:01:30,301.2,7.0
49.986,21.08.2024 00:01:31,296.2,7.0
49.986,21.08.2024 00:01:32,290.9,7.0
49.986,21.08.2024 00:01:33,285.7,7.0
49.987,21.08.2024 00:01:34,280.8,7.0
49.989,21.08.2024 00:01:35,276.8,7.0
49.989,21.08.2024 00:01:36,271.7,7.0
49.99,21.08.2024 00:01:37,269.2,7.0
49.989,21.08.2024 00:01:38,265.3,7.0
49.989,21.08.2024 00:01:39,261.3,7.0
49.989,21.08.2024 00:01:40,256.1,7.0
49.988,21.08.2024 00:01:41,253.5,7.0
49.988,21.08.2024 00:01:42,249.2,7.0
49.987,21.08.2024 00:01:43,244.3,7.0
49.987,21.08.2024 00:01:44,239.5,7.0
49.986,21.08.2024 00:01:45,234.4,7.0
49.984,21.08.2024 00:01:46,227.2,7.0
49.985,21.08.2024 00:01:47,223.3,7.0
49.986,21.08.2024 00:01:48,218.4,7.0
49.988,21.08.2024 00:01:49,212.5,7.0
49.987,21.08.2024 00:01:50,209.3,7.0
49.988,21.08.2024 00:01:51,204.9,7.0
49.99,21.08.2024 00:01:52,199.7,7.0
49.991,21.08.2024 00:01:53,196.3,7.0
49.99,21.08.2024 00:01:54,192.8,7.0
49.991,21.08.2024 00:01:55,189.5,7.0
49.99,21.08.2024 00:01:56,187.2,7.0
49.989,21.08.2024 00:01:57,183.2,7.0
49.989,21.08.2024 00:01:58,179.1,7.0
49.989,21.08.2024 00:01:59,175.1,7.0
49.988,21.08.2024 00:02:00,170.8,7.0
49.988,21.08.2024 00:02:01,165.3,7.0
49.987,21.08.2024 00:02:02,161.9,7.0
49.988,21.08.2024 00:02:03,157.5,7.0
49.989,21.08.2024 00:02:04,153.2,7.0
49.988,21.08.2024 00:02:05,149.6,7.0
49.99,21.08.2024 00:02:06,145.8,7.0
49.992,21.08.2024 00:02:07,142.9,7.0
49.992,21.08.2024 00:02:08,138.3,7.0
49.993,21.08.2024 00:02:09,137.3,7.0
49.992,21.08.2024 00:02:10,134.3,7.0
49.99,21.08.2024 00:02:11,130.7,7.0
49.989,21.08.2024 00:02:12,126.6,7.0
49.988,21.08.2024 00:02:13,121.2,7.0
49.987,21.08.2024 00:02:14,117.4,7.0
49.984,21.08.2024 00:02:15,110.5,7.0
49.982,21.08.2024 00:02:16,105.0,7.0
49.983,21.08.2024 00:02:17,98.7,7.0
49.983,21.08.2024 00:02:18,92.7,7.0
49.982,21.08.2024 00:02:19,86.4,7.0
49.981,21.08.2024 00:02:20,79.8,7.0
49.982,21.08.2024 00:02:21,72.9,7.0
49.982,21.08.2024 00:02:22,66.0,7.0
49.982,21.08.2024 00:02:23,60.1,7.0
49.981,21.08.2024 00:02:24,53.1,7.0
49.981,21.08.2024 00:02:25,46.3,7.0
49.98,21.08.2024 00:02:26,39.0,7.0
49.981,21.08.2024 00:02:27,32.0,7.0
49.982,21.08.2024 00:02:28,25.5,7.0
49.982,21.08.2024 00:02:29,19.6,7.0
49.984,21.08.2024 00:02:30,13.8,7.0
49.984,21.08.2024 00:02:31,6.3,7.0
49.985,21.08.2024 00:02:32,2.5,7.0
49.986,21.08.2024 00:02:33,357.5,7.0
49.987,21.08.2024 00:02:34,350.9,7.0
49.987,21.08.2024 00:02:35,347.7,7.0
49.987,21.08.2024 00:02:36,343.0,7.0
49.988,21.08.2024 00:02:37,337.0,7.0
49.989,21.08.2024 00:02:38,334.3,7.0
49.99,21.08.2024 00:02:39,330.7,7.0
49.99,21.08.2024 00:02:40,327.1,7.0
49.99,21.08.2024 00:02:41,323.3,7.0
49.989,21.08.2024 00:02:42,319.4,7.0
49.989,21.08.2024 00:02:43,315.4,7.0
49.99,21.08.2024 00:02:44,311.7,7.0
49.992,21.08.2024 00:02:45,308.6,7.0
49.993,21.08.2024 00:02:46,306.0,7.0
49.995,21.08.2024 00:02:47,304.1,7.0
49.996,21.08.2024 00:02:48,302.6,7.0
49.997,21.08.2024 00:02:49,301.4,7.0
49.998,21.08.2024 00:02:50,300.7,7.0
50.0,21.08.2024 00:02:51,300.7,7.0
50.002,21.08.2024 00:02:52,301.1,7.0
50.002,21.08.2024 00:02:53,302.4,7.0
50.001,21.08.2024 00:02:54,302.8,7.0
50.001,21.08.2024 00:02:55,302.9,7.0
50.0,21.08.2024 00:02:56,303.0,7.0
50.0,21.08.2024 00:02:57,301.0,7.0
49.998,21.08.2024 00:02:58,301.9,7.0
49.997,21.08.2024 00:02:59,301.0,7.0
49.998,21.08.2024 00:03:00,300.0,7.0
49.996,21.08.2024 00:03:01,298.6,7.0
49.993,21.08.2024 00:03:02,295.9,7.0
49.99,21.08.2024 00:03:03,292.2,7.0
49.989,21.08.2024 00:03:04,288.4,7.0
49.989,21.08.2024 00:03:05,284.6,7.0
49.989,21.08.2024 00:03:06,280.4,7.0
49.987,21.08.2024 00:03:07,274.4,7.0
49.985,21.08.2024 00:03:08,268.9,7.0
49.982,21.08.2024 00:03:09,262.5,7.0
49.981,21.08.2024 00:03:10,255.7,7.0
49.978,21.08.2024 00:03:11,248.7,7.0
49.977,21.08.2024 00:03:12,240.6,7.0
49.976,21.08.2024 00:03:13,231.9,7.0
49.977,21.08.2024 00:03:14,223.6,7.0
49.976,21.08.2024 00:03:15,215.1,7.0
49.975,21.08.2024 00:03:16,206.1,7.0
49.975,21.08.2024 00:03:17,197.7,7.0
49.976,21.08.2024 00:03:18,188.8,7.0
49.976,21.08.2024 00:03:19,180.3,7.0
49.977,21.08.2024 00:03:20,172.1,7.0
49.978,21.08.2024 00:03:21,164.2,7.0
49.978,21.08.2024 00:03:22,154.8,7.0
49.977,21.08.2024 00:03:23,147.9,7.0
49.975,21.08.2024 00:03:24,137.8,7.0
49.975,21.08.2024 00:03:25,130.0,7.0
49.974,21.08.2024 00:03:26,120.8,7.0
49.975,21.08.2024 00:03:27,111.6,7.0
49.975,21.08.2024 00:03:28,102.5,7.0
49.975,21.08.2024 00:03:29,93.5,7.0
49.976,21.08.2024 00:03:30,84.6,7.0
49.975,21.08.2024 00:03:31,75.8,7.0
49.975,21.08.2024 00:03:32,65.9,7.0
49.977,21.08.2024 00:03:33,58.3,7.0
49.977,21.08.2024 00:03:34,48.5,7.0
49.978,21.08.2024 00:03:35,42.2,7.0
49.98,21.08.2024 00:03:36,34.8,7.0
49.979,21.08.2024 00:03:37,27.1,7.0
49.977,21.08.2024 00:03:38,18.8,7.0
49.975,21.08.2024 00:03:39,9.6,7.0
49.975,21.08.2024 00:03:40,359.3,7.0
49.974,21.08.2024 00:03:41,351.7,7.0
49.972,21.08.2024 00:03:42,341.7,7.0
49.972,21.08.2024 00:03:43,331.7,7.0
49.973,21.08.2024 00:03:44,322.0,7.0
